Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
aventures,8,314.0,306.0,38.25
tom,770,2897.0,2127.0,2.762
sawyer,34,506.0,472.0,13.882
autor,3,516.0,513.0,171.0
mark,1,221.0,220.0,220.0
twain,1,668.0,667.0,667.0
traducció,1,221.0,220.0,220.0
josep,2,2897.0,2895.0,1447.5
carner,1,281.0,280.0,280.0
prefaci,1,275.0,274.0,274.0
major,12,626.0,614.0,51.167
part,37,598.0,561.0,15.162
consignades,1,444.0,443.0,443.0
aquest,131,1083.0,952.0,7.267
llibre,37,281.0,244.0,6.595
succeïren,1,478.0,477.0,477.0
bo,52,519.0,467.0,8.981
dues,60,354.0,294.0,4.9
són,42,305.0,263.0,6.262
experiments,2,284.0,282.0,141.0
meva,28,281.0,253.0,9.036
collita,2,337.0,335.0,167.5
resta,13,358.0,345.0,26.538
pertanyen,2,618.0,616.0,308.0
minyons,124,645.0,521.0,4.202
que,2009,2244.0,235.0,0.117
companys,7,727.0,720.0,102.857
escola,82,618.0,536.0,6.537
huck,256,691.0,435.0,1.699
finn,17,303.0,286.0,16.824
tret,13,231.0,218.0,16.769
vida,43,415.0,372.0,8.651
real,3,466.0,463.0,154.333
no,1371,2897.0,1526.0,1.113
individu,1,306.0,305.0,305.0
combinació,2,503.0,501.0,250.5
característiques,1,273.0,272.0,272.0
tres,62,506.0,444.0,7.161
nois,52,1083.0,1031.0,19.827
conèixer,4,668.0,664.0,166.0
així,161,336.0,175.0,1.087
pertany,2,516.0,514.0,257.0
orde,6,1083.0,1077.0,179.5
arquitectònic,1,441.0,440.0,440.0
compost,1,363.0,362.0,362.0
estranyes,3,409.0,406.0,135.333
supersticions,2,423.0,421.0,210.5
quals,9,360.0,351.0,39.0
hom,91,442.0,351.0,3.857
referència,4,421.0,417.0,104.25
predominaven,1,661.0,660.0,660.0
totes,67,784.0,717.0,10.701
esclaus,1,360.0,359.0,359.0
oest,2,336.0,334.0,167.0
període,1,252.0,251.0,251.0
aquesta,142,1070.0,928.0,6.535
història,21,945.0,924.0,44.0
dir,120,618.0,498.0,4.15
trenta,8,252.0,244.0,30.5
quaranta,7,668.0,661.0,94.429
anys,17,727.0,710.0,41.765
encara,68,303.0,235.0,3.456
mon,17,409.0,392.0,23.059
adreça,1,505.0,504.0,504.0
sobretot,8,464.0,456.0,57.0
al,502,879.0,377.0,0.751
divertiment,8,415.0,407.0,50.875
noies,19,478.0,459.0,24.158
espero,8,668.0,660.0,82.5
això,243,519.0,276.0,1.136
serà,18,466.0,448.0,24.889
causa,7,785.0,778.0,111.143
defugin,1,477.0,476.0,476.0
homes,34,724.0,690.0,20.294
