Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
adventures,9,251.0,242.0,26.889
tom,819,1120.0,301.0,0.368
sawyer,36,426.0,390.0,10.833
mark,4,251.0,247.0,61.75
twain,1,511.0,510.0,510.0
samuel,1,329.0,328.0,328.0
langhorne,1,390.0,389.0,389.0
clemens,1,390.0,389.0,389.0
contents,1,583.0,582.0,582.0
chapter,72,365.0,293.0,4.069
aunt,89,362.0,273.0,3.067
polly,57,314.0,257.0,4.509
decides,2,291.0,289.0,144.5
upon,148,449.0,301.0,2.034
duty,6,349.0,343.0,57.167
practices,1,302.0,301.0,301.0
music,6,329.0,323.0,53.833
challenge,1,340.0,339.0,339.0
private,7,288.0,281.0,40.143
entrance,3,183.0,180.0,60.0
ii,2,329.0,327.0,163.5
strong,15,389.0,374.0,24.933
temptations,1,602.0,601.0,601.0
strategic,1,473.0,472.0,472.0
movements,2,292.0,290.0,145.0
innocents,2,264.0,262.0,131.0
beguiled,2,349.0,347.0,173.5
iii,2,596.0,594.0,297.0
general,14,405.0,391.0,27.929
triumph,4,320.0,316.0,79.0
reward,3,383.0,380.0,126.667
dismal,11,340.0,329.0,29.909
felicity,2,155.0,153.0,76.5
commission,1,461.0,460.0,460.0
omission,2,426.0,424.0,212.0
iv,2,214.0,212.0,106.0
mental,6,461.0,455.0,75.833
acrobatics,1,489.0,488.0,488.0
attending,2,249.0,247.0,123.5
sunday,26,204.0,178.0,6.846
school,69,390.0,321.0,4.652
superintendent,8,473.0,465.0,58.125
showing,8,362.0,354.0,44.25
lionized,1,506.0,505.0,505.0
useful,1,339.0,338.0,338.0
minister,14,389.0,375.0,26.786
church,30,325.0,295.0,9.833
climax,2,278.0,276.0,138.0
vi,2,461.0,459.0,229.5
self,9,389.0,380.0,42.222
examination,7,325.0,318.0,45.429
dentistry,2,269.0,267.0,133.5
midnight,19,251.0,232.0,12.211
charm,8,315.0,307.0,38.375
witches,5,602.0,597.0,119.4
devils,6,270.0,264.0,44.0
cautious,2,255.0,253.0,126.5
approaches,1,428.0,427.0,427.0
happy,17,691.0,674.0,39.647
hours,15,264.0,249.0,16.6
vii,2,252.0,250.0,125.0
treaty,1,214.0,213.0,213.0
entered,20,285.0,265.0,13.25
early,9,441.0,432.0,48.0
lessons,3,252.0,249.0,83.0
mistake,3,365.0,362.0,120.667
made,87,712.0,625.0,7.184
viii,2,499.0,497.0,248.5
course,33,365.0,332.0,10.061
old,99,511.0,412.0,4.162
