Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
tom,756,1164.0,408.0,0.54
sawyer,27,377.0,350.0,12.963
koulupojan,2,405.0,403.0,201.5
historia,4,377.0,373.0,93.25
kirj,1,681.0,680.0,680.0
mark,1,295.0,294.0,294.0
twain,1,417.0,416.0,416.0
suomensi,1,310.0,309.0,309.0
ll,1,373.0,372.0,372.0
holm,1,417.0,416.0,416.0
helsinki,1,259.0,258.0,258.0
1879,1,580.0,579.0,579.0
helsingin,1,372.0,371.0,371.0
kirjapaino,1,681.0,680.0,680.0
yhtiön,1,534.0,533.0,533.0
kirjapainossa,1,284.0,283.0,283.0
ensimäinen,8,336.0,328.0,41.0
luku,38,485.0,447.0,11.763
vastausta,11,282.0,271.0,24.636
alkaapa,1,368.0,367.0,367.0
kummastuttaa,2,246.0,244.0,122.0
mihinkä,1,563.0,562.0,562.0
poika,72,451.0,379.0,5.264
katosi,15,422.0,407.0,27.133
kuuletko,2,372.0,370.0,185.0
vanha,46,402.0,356.0,7.739
rouva,39,405.0,366.0,9.385
vetäsi,4,405.0,401.0,100.25
silmälasinsa,1,431.0,430.0,430.0
alemmas,1,289.0,288.0,288.0
nokkavarrelle,1,255.0,254.0,254.0
katseli,22,338.0,316.0,14.364
niitten,9,439.0,430.0,47.778
ympäri,24,588.0,564.0,23.5
huonetta,6,396.0,390.0,65.0
sitte,17,485.0,468.0,27.529
nosti,18,402.0,384.0,21.333
otsallensa,1,284.0,283.0,283.0
tirkisteli,2,305.0,303.0,151.5
alaitse,1,306.0,305.0,305.0
harvoin,5,417.0,412.0,82.4
tuskinpa,3,315.0,312.0,104.0
milloinkaan,24,373.0,349.0,14.542
vähäpätöistä,2,417.0,415.0,207.5
yhtä,55,472.0,417.0,7.582
poikaa,10,284.0,274.0,27.4
läpi,31,588.0,557.0,17.968
juhlalasinsa,1,486.0,485.0,485.0
ylpeytensä,5,486.0,481.0,96.2
piti,58,433.0,375.0,6.466
koristuksen,1,417.0,416.0,416.0
eikä,71,377.0,306.0,4.31
tarpeen,1,357.0,356.0,356.0
vuoksi,8,439.0,431.0,53.875
senpätähden,7,431.0,424.0,60.571
olikin,13,323.0,310.0,23.846
yhden,31,402.0,371.0,11.968
tekevä,1,385.0,384.0,384.0
tirkistellyt,1,417.0,416.0,416.0
reijistä,1,344.0,343.0,343.0
pesän,3,323.0,320.0,106.667
luukuissa,1,290.0,289.0,289.0
hetkisen,44,341.0,297.0,6.75
aikaa,46,422.0,376.0,8.174
näytti,52,310.0,258.0,4.962
olevan,59,451.0,392.0,6.644
