Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
abenteuer,15,344.0,329.0,21.933
tom,739,1065.0,326.0,0.441
sawyers,3,347.0,344.0,114.667
mark,2,293.0,291.0,145.5
twain,1,247.0,246.0,246.0
deutsch,1,402.0,401.0,401.0
hellwag,1,264.0,263.0,263.0
vorwort,1,344.0,343.0,343.0
autors,1,483.0,482.0,482.0
meisten,14,388.0,374.0,26.714
erzählten,1,478.0,477.0,477.0
tatsächlich,2,287.0,285.0,142.5
zugetragen,3,267.0,264.0,88.0
erlebt,2,483.0,481.0,240.5
schulkameraden,3,225.0,222.0,74.0
huck,237,483.0,246.0,1.038
finn,16,341.0,325.0,20.312
leben,31,341.0,310.0,10.0
gezeichnet,1,251.0,250.0,250.0
weniger,11,402.0,391.0,35.545
sawyer,26,223.0,197.0,7.577
entspricht,1,264.0,263.0,263.0
bestimmten,1,314.0,313.0,313.0
persönlichkeit,3,315.0,312.0,104.0
wurde,149,460.0,311.0,2.087
charakteristischen,1,307.0,306.0,306.0
zügen,2,483.0,481.0,240.5
mehrerer,2,217.0,215.0,107.5
altersgenossen,1,460.0,459.0,459.0
ausgestattet,3,301.0,298.0,99.333
darf,10,285.0,275.0,27.5
daher,11,262.0,251.0,22.818
gegenüber,6,252.0,246.0,41.0
einigermaßen,1,536.0,535.0,535.0
kompliziertes,1,290.0,289.0,289.0
psychologisches,1,217.0,216.0,216.0
problem,1,318.0,317.0,317.0
gelten,2,501.0,499.0,249.5
muß,34,449.0,415.0,12.206
bemerken,5,304.0,299.0,59.8
zeit,78,445.0,367.0,4.705
erzählung,6,344.0,338.0,56.333
dreißig,7,252.0,245.0,35.0
vierzig,3,217.0,214.0,71.333
jahren,9,274.0,265.0,29.444
unmündigen,1,404.0,403.0,403.0
unwissenden,1,314.0,313.0,313.0
westens,3,536.0,533.0,177.667
seltsamsten,1,410.0,409.0,409.0
unwahrscheinlichsten,1,473.0,472.0,472.0
vorurteile,1,524.0,523.0,523.0
aberglauben,2,402.0,400.0,200.0
herrschten,1,278.0,277.0,277.0
obwohl,14,453.0,439.0,31.357
buch,27,372.0,345.0,12.778
unterhaltung,5,279.0,274.0,54.8
kleinen,47,336.0,289.0,6.149
welt,33,381.0,348.0,10.545
geschrieben,5,404.0,399.0,79.8
wohl,93,274.0,181.0,1.946
hoffen,3,318.0,315.0,105.0
erwachsenen,5,342.0,337.0,67.4
ganz,135,536.0,401.0,2.97
unbeachtet,1,309.0,308.0,308.0
gelassen,4,232.0,228.0,57.0
darin,14,460.0,446.0,31.857
versucht,10,223.0,213.0,21.3
angenehme,1,344.0,343.0,343.0
weise,15,484.0,469.0,31.267
zeigen,12,484.0,472.0,39.333
einst,4,317.0,313.0,78.25
fühlten,7,456.0,449.0,64.143
dachten,6,312.0,306.0,51.0
sprachen,9,231.0,222.0,24.667
art,22,288.0,266.0,12.091
ehrgeiz,3,200.0,197.0,65.667
