Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapter,12,12.0,0.0,0.0
rabbit,51,51.0,0.0,0.0
hole,5,5.0,0.0,0.0
alice,397,398.0,1.0,0.003
beginning,14,16.0,2.0,0.143
get,46,47.0,1.0,0.022
tired,7,8.0,1.0,0.143
sitting,10,12.0,2.0,0.2
sister,9,9.0,0.0,0.0
bank,3,3.0,0.0,0.0
nothing,34,35.0,1.0,0.029
twice,5,7.0,2.0,0.4
peeped,3,4.0,1.0,0.333
book,11,12.0,1.0,0.091
reading,3,4.0,1.0,0.333
pictures,4,6.0,2.0,0.5
conversations,2,3.0,1.0,0.5
use,18,18.0,0.0,0.0
thought,74,74.0,0.0,0.0
without,26,27.0,1.0,0.038
considering,3,3.0,0.0,0.0
mind,11,11.0,0.0,0.0
well,63,63.0,0.0,0.0
hot,7,8.0,1.0,0.143
day,29,29.0,0.0,0.0
made,30,30.0,0.0,0.0
feel,8,10.0,2.0,0.25
sleepy,5,5.0,0.0,0.0
stupid,6,7.0,1.0,0.167
whether,11,14.0,3.0,0.273
pleasure,2,3.0,1.0,0.5
making,8,8.0,0.0,0.0
daisy,1,5.0,4.0,4.0
chain,1,1.0,0.0,0.0
worth,4,4.0,0.0,0.0
trouble,6,6.0,0.0,0.0
getting,22,22.0,0.0,0.0
picking,2,2.0,0.0,0.0
daisies,1,2.0,1.0,1.0
suddenly,13,13.0,0.0,0.0
white,30,31.0,1.0,0.033
pink,1,2.0,1.0,1.0
eyes,29,29.0,0.0,0.0
ran,16,16.0,0.0,0.0
close,13,13.0,0.0,0.0
remarkable,2,2.0,0.0,0.0
think,53,53.0,0.0,0.0
much,51,52.0,1.0,0.02
way,56,59.0,3.0,0.054
hear,14,14.0,0.0,0.0
say,51,51.0,0.0,0.0
oh,45,45.0,0.0,0.0
dear,29,29.0,0.0,0.0
shall,25,25.0,0.0,0.0
late,6,7.0,1.0,0.167
afterwards,2,2.0,0.0,0.0
occurred,2,6.0,4.0,2.0
wondered,1,1.0,0.0,0.0
time,71,73.0,2.0,0.028
seemed,27,29.0,2.0,0.074
quite,55,55.0,0.0,0.0
natural,4,4.0,0.0,0.0
actually,1,1.0,0.0,0.0
took,24,25.0,1.0,0.042
watch,8,9.0,1.0,0.125
waistcoat,2,3.0,1.0,0.5
pocket,7,7.0,0.0,0.0
looked,45,45.0,0.0,0.0
hurried,11,12.0,1.0,0.091
started,2,2.0,0.0,0.0
feet,19,21.0,2.0,0.105
flashed,1,1.0,0.0,0.0
across,5,5.0,0.0,0.0
never,48,48.0,0.0,0.0
seen,15,15.0,0.0,0.0
either,10,11.0,1.0,0.1
take,22,22.0,0.0,0.0
burning,1,1.0,0.0,0.0
curiosity,5,6.0,1.0,0.2
field,1,2.0,1.0,1.0
fortunately,1,1.0,0.0,0.0
just,52,60.0,8.0,0.154
see,67,67.0,0.0,0.0
pop,1,1.0,0.0,0.0
large,33,35.0,2.0,0.061
hedge,2,2.0,0.0,0.0
another,22,22.0,0.0,0.0
moment,31,31.0,0.0,0.0
went,83,83.0,0.0,0.0
world,7,8.0,1.0,0.143
straight,2,2.0,0.0,0.0
like,85,85.0,0.0,0.0
tunnel,1,2.0,1.0,1.0
dipped,2,2.0,0.0,0.0
stopping,1,3.0,2.0,2.0
found,32,33.0,1.0,0.031
falling,2,2.0,0.0,0.0
deep,7,7.0,0.0,0.0
fell,6,7.0,1.0,0.167
slowly,8,11.0,3.0,0.375
plenty,2,3.0,1.0,0.5
look,29,30.0,1.0,0.034
wonder,18,19.0,1.0,0.056
going,27,27.0,0.0,0.0
happen,8,8.0,0.0,0.0
next,30,31.0,1.0,0.033
first,51,51.0,0.0,0.0
tried,19,19.0,0.0,0.0
make,27,27.0,0.0,0.0
coming,9,10.0,1.0,0.111
dark,3,4.0,1.0,0.333
anything,20,21.0,1.0,0.05
sides,4,4.0,0.0,0.0
noticed,8,9.0,1.0,0.125
filled,3,4.0,1.0,0.333
cupboards,2,3.0,1.0,0.5
shelves,2,3.0,1.0,0.5
saw,14,15.0,1.0,0.071
maps,1,1.0,0.0,0.0
hung,1,2.0,1.0,1.0
upon,26,26.0,0.0,0.0
pegs,1,1.0,0.0,0.0
jar,2,3.0,1.0,0.5
one,104,104.0,0.0,0.0
passed,5,5.0,0.0,0.0
labelled,1,2.0,1.0,1.0
orange,1,1.0,0.0,0.0
marmalade,1,2.0,1.0,1.0
great,39,40.0,1.0,0.026
disappointment,1,1.0,0.0,0.0
empty,1,1.0,0.0,0.0
drop,1,2.0,1.0,1.0
fear,4,4.0,0.0,0.0
killing,1,2.0,1.0,1.0
somebody,7,10.0,3.0,0.429
managed,4,4.0,0.0,0.0
put,31,31.0,0.0,0.0
