Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,14.0,2.0,0.167
conigliera,4,8.0,4.0,1.0
alice,400,402.0,2.0,0.005
cominciava,5,7.0,2.0,0.4
sentirsi,2,4.0,2.0,1.0
mortalmente,2,7.0,5.0,2.5
stanca,4,6.0,2.0,0.5
sedere,2,5.0,3.0,1.5
poggio,2,2.0,0.0,0.0
accanto,1,3.0,2.0,2.0
sorella,7,8.0,1.0,0.143
far,18,20.0,2.0,0.111
nulla,19,22.0,3.0,0.158
due,39,40.0,1.0,0.026
volte,11,11.0,0.0,0.0
gittato,1,2.0,1.0,1.0
sguardo,2,6.0,4.0,2.0
libro,6,11.0,5.0,0.833
leggeva,3,4.0,1.0,0.333
imagini,2,4.0,2.0,1.0
nè,9,16.0,7.0,0.778
dialoghi,2,8.0,6.0,3.0
serve,2,5.0,3.0,1.5
pensò,53,57.0,4.0,0.075
andava,11,19.0,8.0,0.727
fantasticando,1,6.0,5.0,5.0
cervello,4,8.0,4.0,1.0
meglio,21,24.0,3.0,0.143
poteva,14,16.0,2.0,0.143
perchè,91,91.0,0.0,0.0
stellone,1,4.0,3.0,3.0
avea,46,48.0,2.0,0.043
resa,2,5.0,3.0,1.5
sonnacchiosa,2,5.0,3.0,1.5
grullina,1,3.0,2.0,2.0
piacere,4,8.0,4.0,1.0
ghirlanda,1,3.0,2.0,2.0
margherite,1,1.0,0.0,0.0
valesse,1,4.0,3.0,3.0
noja,2,6.0,4.0,2.0
levarsi,2,4.0,2.0,1.0
cogliere,1,6.0,5.0,5.0
fiori,5,8.0,3.0,0.6
quand,2,5.0,3.0,1.5
coniglio,49,54.0,5.0,0.102
bianco,20,21.0,1.0,0.05
occhi,31,31.0,0.0,0.0
rubino,1,3.0,2.0,2.0
passò,5,6.0,1.0,0.2
vicino,16,17.0,1.0,0.062
davvero,30,32.0,2.0,0.067
troppo,18,22.0,4.0,0.222
meravigliarsi,1,4.0,3.0,3.0
ciò,80,86.0,6.0,0.075
cosa,69,71.0,2.0,0.029
stravagante,1,3.0,2.0,2.0
sentire,8,9.0,1.0,0.125
parlare,19,21.0,2.0,0.105
diceva,14,20.0,6.0,0.429
sè,50,52.0,2.0,0.04
oimè,9,9.0,0.0,0.0
oimèi,1,1.0,0.0,0.0
fatto,17,20.0,3.0,0.176
tardi,7,8.0,1.0,0.143
quando,73,74.0,1.0,0.014
rammentò,6,10.0,4.0,0.667
seguito,3,3.0,0.0,0.0
accorse,9,11.0,2.0,0.222
dovuto,3,5.0,2.0,0.667
meravigliarsene,1,2.0,1.0,1.0
sembrò,3,6.0,3.0,1.0
assai,17,18.0,1.0,0.059
naturale,9,12.0,3.0,0.333
trasse,1,5.0,4.0,4.0
oriuolo,8,9.0,1.0,0.125
taschino,3,8.0,5.0,1.667
panciotto,2,3.0,1.0,0.5
affisò,2,3.0,1.0,0.5
scappò,3,6.0,3.0,1.0
via,50,54.0,4.0,0.08
saltò,4,4.0,0.0,0.0
piedi,25,29.0,4.0,0.16
venuto,2,8.0,6.0,3.0
mente,4,7.0,3.0,0.75
ch,51,52.0,1.0,0.02
ella,53,61.0,8.0,0.151
mai,62,66.0,4.0,0.065
veduto,9,11.0,2.0,0.222
rispettivo,1,3.0,2.0,2.0
starvici,1,3.0,2.0,2.0
divorata,2,5.0,3.0,1.5
curiosità,7,10.0,3.0,0.429
traversò,2,2.0,0.0,0.0
campo,3,6.0,3.0,1.0
correndogli,2,7.0,5.0,2.5
appresso,3,7.0,4.0,1.333
giunse,7,8.0,1.0,0.143
proprio,24,28.0,4.0,0.167
tempo,36,38.0,2.0,0.056
vederlo,1,5.0,4.0,4.0
slanciarsi,1,3.0,2.0,2.0
spaziosa,3,8.0,5.0,1.667
siepe,2,7.0,5.0,2.5
istante,20,24.0,4.0,0.2
scivolò,1,3.0,2.0,2.0
punto,21,23.0,2.0,0.095
riflettere,4,7.0,3.0,0.75
riuscirne,2,3.0,1.0,0.5
fuori,21,24.0,3.0,0.143
buca,3,4.0,1.0,0.333
sfilava,2,3.0,1.0,0.5
diritto,2,4.0,2.0,1.0
galleria,1,2.0,1.0,1.0
tunnel,1,7.0,6.0,6.0
poi,57,60.0,3.0,0.053
inabissava,1,4.0,3.0,3.0
tanto,50,52.0,2.0,0.04
rapidamente,3,6.0,3.0,1.0
solo,3,7.0,4.0,1.333
considerare,1,3.0,2.0,2.0
potuto,8,9.0,1.0,0.125
fermarsi,2,3.0,1.0,0.5
poichè,13,16.0,3.0,0.231
sentiva,6,8.0,2.0,0.333
cader,1,5.0,4.0,4.0
rotoloni,1,3.0,2.0,2.0
qualche,50,52.0,2.0,0.04
precipizio,2,5.0,3.0,1.5
rassomigliava,4,5.0,1.0,0.25
pozzo,9,14.0,5.0,0.556
profondissimo,1,3.0,2.0,2.0
arci,1,1.0,0.0,0.0
profondo,3,4.0,1.0,0.333
ruzzolava,1,3.0,2.0,2.0
adagino,2,4.0,2.0,1.0
mentre,45,50.0,5.0,0.111
cadeva,1,3.0,2.0,2.0
guardare,8,10.0,2.0,0.25
intorno,21,27.0,6.0,0.286
stupiva,1,7.0,6.0,6.0
pensando,7,9.0,2.0,0.286
avverrebbe,3,4.0,1.0,0.333
prima,39,42.0,3.0,0.077
aguzzò,1,6.0,5.0,5.0
vista,6,6.0,0.0,0.0
cercò,10,11.0,1.0,0.1
vedere,22,25.0,3.0,0.136
fondo,7,12.0,5.0,0.714
scoprire,2,3.0,1.0,0.5
accaderebbe,1,6.0,5.0,5.0
bujo,2,3.0,1.0,0.5
affatto,11,14.0,3.0,0.273
vedea,3,5.0,2.0,0.667
indi,3,5.0,2.0,0.667
guardò,19,21.0,2.0,0.105
pareti,1,7.0,6.0,6.0
osservò,27,29.0,2.0,0.074
ricoperte,1,3.0,2.0,2.0
credenze,1,6.0,5.0,5.0
scaffali,1,1.0,0.0,0.0
libri,3,5.0,2.0,0.667
quà,13,17.0,4.0,0.308
là,18,22.0,4.0,0.222
vide,18,22.0,4.0,0.222
mappe,1,4.0,3.0,3.0
quadri,1,2.0,1.0,1.0
pendeano,1,2.0,1.0,1.0
chiodi,1,5.0,4.0,4.0
andando,3,4.0,1.0,0.333
prese,9,9.0,0.0,0.0
volo,1,3.0,2.0,2.0
vasettino,2,6.0,4.0,2.0
cartello,4,8.0,4.0,1.0
lesse,3,4.0,1.0,0.333
conserva,1,2.0,1.0,1.0
arance,1,7.0,6.0,6.0
vuoto,1,5.0,4.0,4.0
restò,9,14.0,5.0,0.556
delusa,1,4.0,3.0,3.0
volle,7,12.0,5.0,0.714
lasciar,1,2.0,1.0,1.0
cadere,4,5.0,1.0,0.25
ammazzare,1,3.0,2.0,2.0
sempre,24,28.0,4.0,0.167
depose,4,6.0,2.0,0.5
altra,20,27.0,7.0,0.35
credenza,1,4.0,3.0,3.0
bene,43,47.0,4.0,0.093
dopo,28,29.0,1.0,0.036
caduta,6,9.0,3.0,0.5
tale,11,15.0,4.0,0.364
parrà,1,4.0,3.0,3.0
niente,16,20.0,4.0,0.25
ruzzolare,1,2.0,1.0,1.0
scale,1,3.0,2.0,2.0
casa,21,24.0,3.0,0.143
crederanno,2,3.0,1.0,0.5
coraggiosa,1,3.0,2.0,2.0
ora,47,48.0,1.0,0.021
innanzi,12,13.0,1.0,0.083
ancorchè,2,3.0,1.0,0.5
cadessi,1,2.0,1.0,1.0
tetto,4,11.0,7.0,1.75
caso,6,9.0,3.0,0.5
probabilmente,3,6.0,3.0,1.0
dicea,1,8.0,7.0,7.0
verità,2,3.0,1.0,0.5
finirà,1,4.0,3.0,3.0
sa,14,19.0,5.0,0.357
miglia,3,3.0,0.0,0.0
percorse,1,6.0,5.0,5.0
quest,12,15.0,3.0,0.25
sclamò,27,29.0,2.0,0.074
stò,5,7.0,2.0,0.4
toccare,1,5.0,4.0,4.0
centro,1,3.0,2.0,2.0
terra,16,18.0,2.0,0.125
vediamo,6,6.0,0.0,0.0
suppongo,3,5.0,2.0,0.667
quattrocento,1,1.0,0.0,0.0
profondità,1,4.0,3.0,3.0
vedete,6,6.0,0.0,0.0
imparate,1,5.0,4.0,4.0
molte,4,4.0,0.0,0.0
tali,2,4.0,2.0,1.0
cose,22,24.0,2.0,0.091
lezioni,9,12.0,3.0,0.333
migliore,2,7.0,5.0,2.5
occasione,3,6.0,3.0,1.0
sfoggio,1,6.0,5.0,5.0
erudizione,2,4.0,2.0,1.0
niuno,13,16.0,3.0,0.231
ascoltasse,2,4.0,2.0,1.0
meno,17,18.0,1.0,0.059
ripassarle,1,6.0,5.0,5.0
sì,17,18.0,1.0,0.059
vera,6,8.0,2.0,0.333
distanza,5,7.0,2.0,0.4
press,3,10.0,7.0,2.333
vorrei,21,21.0,0.0,0.0
sapere,6,9.0,3.0,0.5
grado,1,7.0,6.0,6.0
latitudine,2,8.0,6.0,3.0
longitudine,2,4.0,2.0,1.0
giunta,5,6.0,1.0,0.2
sapea,15,16.0,1.0,0.067
mica,5,6.0,1.0,0.2
belle,4,4.0,0.0,0.0
parolone,2,4.0,2.0,1.0
dire,27,30.0,3.0,0.111
disse,279,280.0,1.0,0.004
rincominciò,8,13.0,5.0,0.625
dovessi,1,4.0,3.0,3.0
traversare,3,5.0,2.0,0.667
bella,9,12.0,3.0,0.333
uscissi,1,4.0,3.0,3.0
genti,1,2.0,1.0,1.0
camminano,1,2.0,1.0,1.0
capo,47,50.0,3.0,0.064
credo,18,24.0,6.0,0.333
chiamino,1,4.0,3.0,3.0
antipatie,1,9.0,8.0,8.0
volta,36,37.0,1.0,0.028
contenta,7,18.0,11.0,1.571
quel,50,54.0,4.0,0.08
nome,7,13.0,6.0,0.857
suonava,2,3.0,1.0,0.5
giusto,6,6.0,0.0,0.0
orecchio,9,12.0,3.0,0.333
domanderò,1,3.0,2.0,2.0
paese,3,6.0,3.0,1.0
grazia,9,17.0,8.0,0.889
signora,1,4.0,3.0,3.0
nuova,5,11.0,6.0,1.2
zelanda,1,5.0,4.0,4.0
australia,1,1.0,0.0,0.0
riverenza,4,9.0,5.0,1.25
parlava,14,15.0,1.0,0.071
figuratevi,3,5.0,2.0,0.667
casca,2,5.0,3.0,1.5
dite,7,9.0,2.0,0.286
potreste,1,2.0,1.0,1.0
farla,2,3.0,1.0,0.5
domanda,11,16.0,5.0,0.455
sciocca,3,8.0,5.0,1.667
forse,27,28.0,1.0,0.037
troverò,1,1.0,0.0,0.0
scritto,4,7.0,3.0,0.75
parte,8,8.0,0.0,0.0
colaggiù,2,2.0,0.0,0.0
cinguettare,1,4.0,3.0,3.0
dina,15,19.0,4.0,0.267
cercherà,1,4.0,3.0,3.0
stanotte,2,3.0,1.0,0.5
gatta,4,7.0,3.0,0.75
spero,3,5.0,2.0,0.667
rammenteranno,1,7.0,6.0,6.0
darle,1,6.0,5.0,5.0
piattino,1,2.0,1.0,1.0
latte,2,2.0,0.0,0.0
prenderanno,1,6.0,5.0,5.0
tè,17,18.0,1.0,0.059
cara,9,11.0,2.0,0.222
meco,2,12.0,10.0,5.0
quaggiù,3,6.0,3.0,1.0
son,28,30.0,2.0,0.071
sorci,4,8.0,4.0,1.0
aria,20,24.0,4.0,0.2
sai,10,12.0,2.0,0.2
potresti,3,4.0,1.0,0.333
afferrare,4,6.0,2.0,0.5
nottola,2,4.0,2.0,1.0
simile,9,12.0,3.0,0.333
sorcio,44,46.0,2.0,0.045
gatti,13,16.0,3.0,0.231
mangiano,6,10.0,4.0,0.667
nottole,4,9.0,5.0,1.25
quì,38,42.0,4.0,0.105
cominciò,23,27.0,4.0,0.174
sonniferare,1,6.0,5.0,5.0
sonno,4,6.0,2.0,0.5
veglia,1,8.0,7.0,7.0
continuò,41,43.0,2.0,0.049
ruminare,1,4.0,3.0,3.0
denti,3,8.0,5.0,1.667
talvolta,4,8.0,4.0,1.0
potendo,2,5.0,3.0,1.5
rispondere,7,7.0,0.0,0.0
nessuna,2,3.0,1.0,0.5
quistioni,2,4.0,2.0,1.0
importava,1,4.0,3.0,3.0
invertiva,1,2.0,1.0,1.0
senso,9,12.0,3.0,0.333
esse,5,10.0,5.0,1.0
sonnecchiava,1,7.0,6.0,6.0
già,26,29.0,3.0,0.115
sognare,1,3.0,2.0,2.0
braccetto,2,4.0,2.0,1.0
austera,2,4.0,2.0,1.0
dìmmi,1,4.0,3.0,3.0
mangiata,1,4.0,3.0,3.0
tonfete,1,1.0,0.0,0.0
cascò,2,5.0,3.0,1.5
subito,34,37.0,3.0,0.088
mucchio,1,6.0,5.0,5.0
ramicelli,1,1.0,0.0,0.0
foglie,6,9.0,3.0,0.5
secche,1,7.0,6.0,6.0
finì,3,11.0,8.0,2.667
male,9,10.0,1.0,0.111
lesta,3,8.0,5.0,1.667
pronta,3,5.0,2.0,0.667
alto,5,5.0,0.0,0.0
davanti,7,10.0,3.0,0.429
lungo,11,13.0,2.0,0.182
corridoio,3,5.0,2.0,0.667
percorso,1,4.0,3.0,3.0
perdere,3,5.0,2.0,0.667
ali,3,6.0,3.0,1.0
corse,3,14.0,11.0,3.667
sentì,26,28.0,2.0,0.077
sclamava,1,3.0,2.0,2.0
svoltava,1,5.0,4.0,4.0
cantonata,2,6.0,4.0,2.0
giurammio,1,4.0,3.0,3.0
lì,16,17.0,1.0,0.062
raggiungerlo,1,9.0,8.0,8.0
appena,22,26.0,4.0,0.182
trovò,13,15.0,2.0,0.154
sala,11,12.0,1.0,0.091
lunga,5,11.0,6.0,1.2
bassa,7,7.0,0.0,0.0
illuminata,1,6.0,5.0,5.0
fila,2,3.0,1.0,0.5
lampade,1,5.0,4.0,4.0
pendevano,1,3.0,2.0,2.0
porte,1,2.0,1.0,1.0
tutt,17,19.0,2.0,0.118
tutte,16,22.0,6.0,0.375
serrate,1,4.0,3.0,3.0
andò,16,23.0,7.0,0.438
provando,1,4.0,3.0,3.0
usci,2,2.0,0.0,0.0
possibile,3,4.0,1.0,0.333
aprirne,2,2.0,0.0,0.0
qualcheduno,6,7.0,1.0,0.167
inutilmente,3,5.0,2.0,0.667
mise,25,30.0,5.0,0.2
camminar,1,5.0,4.0,4.0
mestamente,10,11.0,1.0,0.1
mezzo,19,21.0,2.0,0.105
tratto,3,4.0,1.0,0.333
capitò,2,3.0,1.0,0.5
vicina,3,6.0,3.0,1.0
piccolo,9,14.0,5.0,0.556
tavolino,3,6.0,3.0,1.0
cristallo,6,6.0,0.0,0.0
solido,1,3.0,2.0,2.0
sorretto,1,6.0,5.0,5.0
tre,29,31.0,2.0,0.069
esso,5,8.0,3.0,0.6
chiavettina,8,15.0,7.0,0.875
oro,6,7.0,1.0,0.167
or,10,11.0,1.0,0.1
idea,12,18.0,6.0,0.5
potesse,9,10.0,1.0,0.111
aprire,2,2.0,0.0,0.0
provò,6,8.0,2.0,0.333
toppe,1,6.0,5.0,5.0
grandi,4,5.0,1.0,0.25
piccola,4,5.0,1.0,0.25
comunque,1,5.0,4.0,4.0
potette,6,7.0,1.0,0.167
alcuno,3,5.0,2.0,0.667
secondo,5,9.0,4.0,0.8
giro,1,2.0,1.0,1.0
cortina,1,6.0,5.0,5.0
osservata,1,2.0,1.0,1.0
dietro,14,16.0,2.0,0.143
essa,14,16.0,2.0,0.143
uscio,20,21.0,1.0,0.05
quindici,2,4.0,2.0,1.0
pollici,6,7.0,1.0,0.167
andasse,2,2.0,0.0,0.0
toppa,1,5.0,4.0,4.0
molta,19,22.0,3.0,0.158
allegrezza,2,6.0,4.0,2.0
entrava,2,4.0,2.0,1.0
appuntino,2,7.0,5.0,2.5
aprì,9,15.0,6.0,0.667
dava,2,2.0,0.0,0.0
largo,1,2.0,1.0,1.0
topi,2,3.0,1.0,0.5
inginocchiò,1,7.0,6.0,6.0
bel,10,13.0,3.0,0.3
giardino,15,18.0,3.0,0.2
mondo,9,13.0,4.0,0.444
oh,36,37.0,1.0,0.028
desiderò,1,7.0,6.0,6.0
uscir,2,5.0,3.0,1.5
buja,1,7.0,6.0,6.0
correre,6,9.0,3.0,0.5
que,2,7.0,5.0,2.5
prati,1,6.0,5.0,5.0
risplendenti,1,2.0,1.0,1.0
chiare,1,4.0,3.0,3.0
fresche,2,4.0,2.0,1.0
acque,2,3.0,1.0,0.5
fontane,2,4.0,2.0,1.0
dato,6,7.0,1.0,0.167
neppure,12,14.0,2.0,0.167
cacciare,1,2.0,1.0,1.0
passarvi,1,4.0,3.0,3.0
povera,10,17.0,7.0,0.7
servirebbe,1,4.0,3.0,3.0
farci,1,4.0,3.0,3.0
passare,1,5.0,4.0,4.0
spalle,9,13.0,4.0,0.444
bramerei,1,3.0,2.0,2.0
riserrarmi,1,4.0,3.0,3.0
telescopio,1,3.0,2.0,2.0
potrei,13,16.0,3.0,0.231
farlo,7,14.0,7.0,1.0
sapessi,1,2.0,1.0,1.0
soltanto,13,14.0,1.0,0.077
cominciare,6,10.0,4.0,0.667
ultimamente,1,3.0,2.0,2.0
accadute,1,2.0,1.0,1.0
tante,9,11.0,2.0,0.222
straordinarie,2,4.0,2.0,1.0
cominciato,6,6.0,0.0,0.0
persuadersi,1,6.0,5.0,5.0
poche,1,2.0,1.0,1.0
veramente,3,10.0,7.0,2.333
impossibili,1,2.0,1.0,1.0
perso,1,4.0,3.0,3.0
star,1,3.0,2.0,2.0
piantata,1,6.0,5.0,5.0
usciolino,5,7.0,2.0,0.4
perciò,10,13.0,3.0,0.3
ritornò,4,8.0,4.0,1.0
verso,18,28.0,10.0,0.556
tavola,15,16.0,1.0,0.067
mezza,2,6.0,4.0,2.0
speranza,4,6.0,2.0,0.5
potervi,1,7.0,6.0,6.0
trovare,8,13.0,5.0,0.625
chiave,1,3.0,2.0,2.0
almeno,8,8.0,0.0,0.0
insegnasse,1,3.0,2.0,2.0
gente,6,8.0,2.0,0.333
riserrarsi,1,1.0,0.0,0.0
cannocchiale,3,5.0,2.0,0.667
ampolla,6,8.0,2.0,0.333
certo,26,30.0,4.0,0.154
attaccato,2,4.0,2.0,1.0
collo,8,12.0,4.0,0.5
lettere,1,3.0,2.0,2.0
scatola,2,3.0,1.0,0.5
magnificamente,1,1.0,0.0,0.0
scritta,3,6.0,3.0,1.0
parola,7,9.0,2.0,0.286
bevi,4,9.0,5.0,1.25
và,1,4.0,3.0,3.0
benissimo,3,3.0,0.0,0.0
ragazzina,2,5.0,3.0,1.5
prudente,1,6.0,5.0,5.0
bere,5,9.0,4.0,0.8
nò,13,14.0,1.0,0.077
voglio,8,21.0,13.0,1.625
