Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,105.0,93.0,7.75
premier,8,82.0,74.0,9.25
fond,8,76.0,68.0,8.5
terrier,4,71.0,67.0,16.75
alice,395,470.0,75.0,0.19
assise,6,94.0,88.0,14.667
auprès,8,58.0,50.0,6.25
sœur,10,87.0,77.0,7.7
gazon,3,57.0,54.0,18.0
commençait,7,74.0,67.0,9.571
ennuyer,1,94.0,93.0,93.0
rester,7,37.0,30.0,4.286
rien,54,114.0,60.0,1.111
jeté,1,53.0,52.0,52.0
yeux,41,160.0,119.0,2.902
livre,6,116.0,110.0,18.333
lisait,2,77.0,75.0,37.5
quoi,25,91.0,66.0,2.64
images,3,72.0,69.0,23.0
dialogues,2,74.0,72.0,36.0
belle,9,86.0,77.0,8.556
avance,2,77.0,75.0,37.5
pensait,10,69.0,59.0,5.9
causeries,1,94.0,93.0,93.0
mise,2,98.0,96.0,48.0
réfléchir,4,71.0,67.0,16.75
tant,14,101.0,87.0,6.214
bien,219,293.0,74.0,0.338
mal,14,93.0,79.0,5.643
chaleur,1,54.0,53.0,53.0
jour,15,84.0,69.0,4.6
endormait,1,71.0,70.0,70.0
rendait,1,37.0,36.0,36.0
lourde,1,57.0,56.0,56.0
demandant,3,69.0,66.0,22.0
plaisir,6,58.0,52.0,8.667
couronne,4,74.0,70.0,17.5
marguerites,1,66.0,65.0,65.0
valait,1,66.0,65.0,65.0
peine,20,61.0,41.0,2.05
lever,4,74.0,70.0,17.5
cueillir,1,91.0,90.0,90.0
fleurs,6,90.0,84.0,14.0
coup,19,123.0,104.0,5.474
lapin,51,129.0,78.0,1.529
blanc,23,92.0,69.0,3.0
roses,4,101.0,97.0,24.25
passa,7,89.0,82.0,11.714
près,33,91.0,58.0,1.758
étonnant,1,55.0,54.0,54.0
trouva,27,98.0,71.0,2.63
extraordinaire,4,91.0,87.0,21.75
entendre,14,83.0,69.0,4.929
parler,23,71.0,48.0,2.087
disait,13,94.0,81.0,6.231
ah,15,69.0,54.0,3.6
arriverai,2,56.0,54.0,27.0
tard,7,104.0,97.0,13.857
songeant,1,74.0,73.0,73.0
après,29,103.0,74.0,2.552
sembla,2,65.0,63.0,31.5
dû,3,73.0,70.0,23.333
étonner,2,72.0,70.0,35.0
moment,18,102.0,84.0,4.667
paru,2,59.0,57.0,28.5
naturel,3,83.0,80.0,26.667
cependant,14,80.0,66.0,4.714
vint,5,82.0,77.0,15.4
tirer,5,89.0,84.0,16.8
montre,6,81.0,75.0,12.5
gousset,2,59.0,57.0,28.5
regarda,15,99.0,84.0,5.6
puis,51,118.0,67.0,1.314
prit,19,79.0,60.0,3.158
courir,9,89.0,80.0,8.889
plus,98,171.0,73.0,0.745
sauta,2,54.0,52.0,26.0
pieds,26,93.0,67.0,2.577
frappée,2,61.0,59.0,29.5
idée,17,98.0,81.0,4.765
jamais,45,153.0,108.0,2.4
entraînée,1,59.0,58.0,58.0
curiosité,5,90.0,85.0,17.0
élança,1,97.0,96.0,96.0
traces,1,96.0,95.0,95.0
travers,8,82.0,74.0,9.25
champ,2,74.0,72.0,36.0
arriva,5,76.0,71.0,14.2
temps,50,138.0,88.0,1.76
voir,33,102.0,69.0,2.091
disparaître,4,48.0,44.0,11.0
large,5,61.0,56.0,11.2
trou,5,87.0,82.0,16.4
pied,11,79.0,68.0,6.182
haie,2,55.0,53.0,26.5
instant,19,78.0,59.0,3.105
poursuite,3,70.0,67.0,22.333
songer,2,72.0,70.0,35.0
sortirait,2,51.0,49.0,24.5
pendant,18,76.0,58.0,3.222
bout,19,68.0,49.0,2.579
chemin,11,71.0,60.0,5.455
allait,19,94.0,75.0,3.947
droit,8,79.0,71.0,8.875
tunnel,1,57.0,56.0,56.0
plongeait,1,81.0,80.0,80.0
perpendiculairement,1,56.0,55.0,55.0
façon,7,83.0,76.0,10.857
brusque,3,59.0,56.0,18.667
sentit,5,98.0,93.0,18.6
tomber,6,96.0,90.0,15.0
puits,9,112.0,103.0,11.444
grande,28,105.0,77.0,2.75
profondeur,2,54.0,52.0,26.0
pensé,1,61.0,60.0,60.0
retenir,3,81.0,78.0,26.0
choses,19,75.0,56.0,2.947
vraiment,14,58.0,44.0,3.143
profond,6,77.0,71.0,11.833
tombait,1,83.0,82.0,82.0
doucement,7,86.0,79.0,11.286
loisir,1,71.0,70.0,70.0
chute,4,71.0,67.0,16.75
regarder,15,84.0,69.0,4.6
autour,22,104.0,82.0,3.727
demander,10,90.0,80.0,8.0
étonnement,5,54.0,49.0,9.8
devenir,3,46.0,43.0,14.333
abord,27,96.0,69.0,2.556
savoir,26,105.0,79.0,3.038
faisait,13,74.0,61.0,4.692
sombre,2,61.0,59.0,29.5
ensuite,7,94.0,87.0,12.429
porta,2,61.0,59.0,29.5
parois,1,65.0,64.0,64.0
aperçut,14,81.0,67.0,4.786
garnies,2,67.0,65.0,32.5
armoires,2,66.0,64.0,32.0
étagères,1,75.0,74.0,74.0
çà,4,91.0,87.0,21.75
vit,10,55.0,45.0,4.5
pendues,2,67.0,65.0,32.5
clous,1,68.0,67.0,67.0
cartes,5,81.0,76.0,15.2
géographiques,1,65.0,64.0,64.0
passant,7,81.0,74.0,10.571
rayon,1,61.0,60.0,60.0
pot,3,81.0,78.0,26.0
confiture,1,71.0,70.0,70.0
portant,4,81.0,77.0,19.25
étiquette,2,79.0,77.0,38.5
marmelade,1,78.0,77.0,77.0
oranges,1,62.0,61.0,61.0
grand,31,98.0,67.0,2.161
regret,1,39.0,38.0,38.0
vide,1,82.0,81.0,81.0
osait,2,58.0,56.0,28.0
laisser,3,78.0,75.0,25.0
crainte,1,113.0,112.0,112.0
tuer,1,78.0,77.0,77.0
quelqu,6,66.0,60.0,10.0
arrangea,1,98.0,97.0,97.0
manière,12,71.0,59.0,4.917
déposer,1,71.0,70.0,70.0
certes,5,120.0,115.0,23.0
dit,416,463.0,47.0,0.113
pareille,4,56.0,52.0,13.0
moquerai,1,74.0,73.0,73.0
dégringoler,1,39.0,38.0,38.0
escalier,3,91.0,88.0,29.333
trouver,15,75.0,60.0,4.0
brave,1,105.0,104.0,104.0
chez,8,66.0,58.0,7.25
tomberais,1,76.0,75.0,75.0
toits,1,67.0,66.0,66.0
ferais,1,85.0,84.0,84.0
plainte,1,53.0,52.0,52.0
probable,3,76.0,73.0,24.333
tombe,6,93.0,87.0,14.5
finira,1,101.0,100.0,100.0
curieuse,5,73.0,68.0,13.6
combien,7,56.0,49.0,7.0
milles,3,69.0,66.0,22.0
déjà,9,85.0,76.0,8.444
faits,2,54.0,52.0,26.0
centre,1,60.0,59.0,59.0
terre,16,76.0,60.0,3.75
voyons,6,56.0,50.0,8.333
quatre,10,74.0,64.0,6.4
mille,6,74.0,68.0,11.333
semble,7,64.0,57.0,8.143
voyez,7,85.0,78.0,11.143
appris,3,71.0,68.0,22.667
leçons,11,101.0,90.0,8.182
bonne,16,106.0,90.0,5.625
occasion,6,96.0,90.0,15.0
parade,1,64.0,63.0,63.0
point,10,71.0,61.0,6.1
auditeur,1,93.0,92.0,92.0
exercice,1,84.0,83.0,83.0
répéter,8,115.0,107.0,13.375
leçon,2,90.0,88.0,44.0
oui,15,124.0,109.0,7.267
degré,1,102.0,101.0,101.0
latitude,2,65.0,63.0,31.5
longitude,2,55.0,53.0,26.5
trouve,3,91.0,88.0,29.333
moindre,10,83.0,73.0,7.3
voulait,5,89.0,84.0,16.8
dire,60,102.0,42.0,0.7
grands,8,54.0,46.0,5.75
mots,23,98.0,75.0,3.261
paraissaient,1,55.0,54.0,54.0
beaux,1,65.0,64.0,64.0
sonores,1,73.0,72.0,72.0
bientôt,27,92.0,65.0,2.407
reprit,9,66.0,57.0,6.333
allais,5,57.0,52.0,10.4
traverser,2,39.0,37.0,18.5
complétement,5,54.0,49.0,9.8
drôle,14,70.0,56.0,4.0
milieu,10,76.0,66.0,6.6
gens,15,79.0,64.0,4.267
marchent,1,69.0,68.0,68.0
tête,71,147.0,76.0,1.07
bas,18,95.0,77.0,4.278
antipathies,1,53.0,52.0,52.0
crois,20,96.0,76.0,3.8
fâchée,3,75.0,72.0,24.0
effet,15,86.0,71.0,4.733
eh,20,106.0,86.0,4.3
pays,3,82.0,79.0,26.333
pardon,7,60.0,53.0,7.571
madame,3,72.0,69.0,23.0
nouvelle,3,77.0,74.0,24.667
zemble,1,73.0,72.0,72.0
australie,1,76.0,75.0,75.0
essaya,6,91.0,85.0,14.167
révérence,3,96.0,93.0,31.0
air,48,116.0,68.0,1.417
dites,11,71.0,60.0,5.455
prendriez,2,69.0,67.0,33.5
petite,50,116.0,66.0,1.32
ignorante,1,67.0,66.0,66.0
pensera,1,59.0,58.0,58.0
dame,1,88.0,87.0,87.0
ferai,5,52.0,47.0,9.4
question,16,59.0,43.0,2.688
non,39,105.0,66.0,1.692
faut,26,99.0,73.0,2.808
verrai,1,51.0,50.0,50.0
écrit,5,57.0,52.0,10.4
quelque,36,89.0,53.0,1.472
part,9,85.0,76.0,8.444
faute,3,70.0,67.0,22.333
mieux,20,85.0,65.0,3.25
remit,8,74.0,66.0,8.25
dinah,16,67.0,51.0,3.188
remarquera,1,54.0,53.0,53.0
