Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,82.0,81.0,81.0
kapitel,12,94.0,82.0,6.833
hinunter,14,124.0,110.0,7.857
kaninchenbau,3,46.0,43.0,14.333
alice,388,487.0,99.0,0.255
fing,47,126.0,79.0,1.681
langweilen,1,65.0,64.0,64.0
saß,14,69.0,55.0,3.929
schon,24,112.0,88.0,3.667
lange,19,101.0,82.0,4.316
schwester,10,96.0,86.0,8.6
ufer,5,88.0,83.0,16.6
thun,24,85.0,61.0,2.542
buch,3,91.0,88.0,29.333
las,3,74.0,71.0,23.667
gefiel,4,89.0,85.0,21.25
weder,4,89.0,85.0,21.25
bilder,3,48.0,45.0,15.0
gespräche,2,76.0,74.0,37.0
darin,12,76.0,64.0,5.333
nützen,3,108.0,105.0,35.0
bücher,1,61.0,60.0,60.0
dachte,65,163.0,98.0,1.508
überlegte,5,81.0,76.0,15.2
eben,31,92.0,61.0,1.968
gut,31,89.0,58.0,1.871
ging,26,105.0,79.0,3.038
schläfrig,3,68.0,65.0,21.667
dumm,4,88.0,84.0,21.0
hitze,1,69.0,68.0,68.0
mühe,8,93.0,85.0,10.625
werth,5,74.0,69.0,13.8
sei,35,111.0,76.0,2.171
aufzustehen,1,99.0,98.0,98.0
gänseblümchen,1,97.0,96.0,96.0
pflücken,1,96.0,95.0,95.0
kette,1,62.0,61.0,61.0
plötzlich,12,115.0,103.0,8.583
weißes,1,84.0,83.0,83.0
kaninchen,44,114.0,70.0,1.591
rothen,3,64.0,61.0,20.333
augen,25,79.0,54.0,2.16
dicht,13,80.0,67.0,5.154
vorbeirannte,1,89.0,88.0,88.0
grade,1,36.0,35.0,35.0
merkwürdig,3,41.0,38.0,12.667
fand,22,114.0,92.0,4.182
außerordentlich,1,84.0,83.0,83.0
sagen,33,99.0,66.0,2.0
hörte,25,85.0,60.0,2.4
weh,9,95.0,86.0,9.556
spät,5,75.0,70.0,14.0
kommen,21,96.0,75.0,3.571
später,1,74.0,73.0,73.0
fiel,12,45.0,33.0,2.75
darüber,8,96.0,88.0,11.0
hätte,20,104.0,84.0,4.2
wundern,4,90.0,86.0,21.5
sollen,8,81.0,73.0,9.125
zeit,36,126.0,90.0,2.5
kam,39,121.0,82.0,2.103
ganz,82,140.0,58.0,0.707
natürlich,20,84.0,64.0,3.2
uhr,11,92.0,81.0,7.364
westentasche,2,59.0,57.0,28.5
zog,6,33.0,27.0,4.5
sah,47,131.0,84.0,1.787
eilig,9,89.0,80.0,8.889
fortlief,2,62.0,60.0,30.0
sprang,6,59.0,53.0,8.833
nie,25,91.0,66.0,2.64
vorgekommen,1,60.0,59.0,59.0
sehen,43,123.0,80.0,1.86
neugierde,3,74.0,71.0,23.667
brennend,1,62.0,61.0,61.0
rannte,9,76.0,67.0,7.444
grasplatz,1,60.0,59.0,59.0
rechten,9,106.0,97.0,10.778
großes,4,86.0,82.0,20.5
loch,2,63.0,61.0,30.5
hecke,2,101.0,99.0,49.5
schlüpfen,1,82.0,81.0,81.0
nächsten,15,57.0,42.0,2.8
augenblick,23,94.0,71.0,3.087
hineingesprungen,1,84.0,83.0,83.0
bedenken,1,74.0,73.0,73.0
welt,6,77.0,71.0,11.833
herauskommen,1,84.0,83.0,83.0
eingang,3,59.0,56.0,18.667
lief,10,84.0,74.0,7.4
erst,21,121.0,100.0,4.762
geradeaus,1,94.0,93.0,93.0
tunnel,1,59.0,58.0,58.0
abwärts,2,74.0,72.0,36.0
ehe,13,93.0,80.0,6.154
gedanken,7,96.0,89.0,12.714
fassen,2,84.0,82.0,41.0
konnte,51,132.0,81.0,1.588
schnell,35,146.0,111.0,3.171
festzuhalten,1,39.0,38.0,38.0
fühlte,7,84.0,77.0,11.0
schien,20,96.0,76.0,3.8
tiefen,3,59.0,56.0,18.667
brunnen,6,61.0,55.0,9.167
entweder,3,90.0,87.0,29.0
mußte,10,65.0,55.0,5.5
tief,9,82.0,73.0,8.111
langsam,8,61.0,53.0,6.625
genug,24,87.0,63.0,2.625
beim,6,116.0,110.0,18.333
fallen,7,64.0,57.0,8.143
umzusehen,3,58.0,55.0,18.333
wohl,45,144.0,99.0,2.2
geschehen,6,48.0,42.0,7.0
zuerst,15,96.0,81.0,5.4
versuchte,12,104.0,92.0,7.667
wissen,21,102.0,81.0,3.857
wohin,5,86.0,81.0,16.2
käme,2,94.0,92.0,46.0
dunkel,2,94.0,92.0,46.0
erkennen,1,86.0,85.0,85.0
besah,1,46.0,45.0,45.0
wände,1,79.0,78.0,78.0
brunnens,1,80.0,79.0,79.0
bemerkte,14,89.0,75.0,5.357
küchenschränken,1,62.0,61.0,61.0
bücherbrettern,1,97.0,96.0,96.0
bedeckt,2,51.0,49.0,24.5
erblickte,3,96.0,93.0,31.0
landkarten,1,82.0,81.0,81.0
haken,1,101.0,100.0,100.0
aufgehängt,2,65.0,63.0,31.5
nahm,17,82.0,65.0,3.824
vorbeifallen,1,45.0,44.0,44.0
bretter,1,75.0,74.0,74.0
töpfchen,1,57.0,56.0,56.0
aufschrift,1,95.0,94.0,94.0
eingemachte,1,74.0,73.0,73.0
apfelsinen,1,83.0,82.0,82.0
großen,17,76.0,59.0,3.471
verdruß,3,82.0,79.0,26.333
leer,1,100.0,99.0,99.0
lassen,11,96.0,85.0,7.727
furcht,3,129.0,126.0,42.0
jemand,8,89.0,81.0,10.125
tödten,1,76.0,75.0,75.0
gelang,4,74.0,70.0,17.5
schrank,1,39.0,38.0,38.0
vorbeikam,1,83.0,82.0,82.0
schieben,2,57.0,55.0,27.5
fall,14,94.0,80.0,5.714
daraus,3,94.0,91.0,30.333
treppe,3,99.0,96.0,32.0
stolpere,1,83.0,82.0,82.0
muthig,1,82.0,81.0,81.0
haus,8,82.0,74.0,9.25
finden,9,96.0,87.0,9.667
redens,1,72.0,71.0,71.0
