Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,15.0,3.0,25.0
conigliera,4,5.0,1.0,25.0
alice,400,405.0,5.0,1.25
cominciava,5,7.0,2.0,40.0
sentirsi,2,7.0,5.0,250.0
mortalmente,2,9.0,7.0,350.0
stanca,4,6.0,2.0,50.0
sedere,2,2.0,0.0,0.0
poggio,2,7.0,5.0,250.0
accanto,1,5.0,4.0,400.0
sorella,7,13.0,6.0,85.71
far,18,18.0,0.0,0.0
nulla,19,23.0,4.0,21.05
due,39,41.0,2.0,5.13
volte,11,14.0,3.0,27.27
gittato,1,2.0,1.0,100.0
sguardo,2,4.0,2.0,100.0
libro,6,8.0,2.0,33.33
leggeva,3,3.0,0.0,0.0
imagini,2,5.0,3.0,150.0
nè,9,9.0,0.0,0.0
dialoghi,2,3.0,1.0,50.0
serve,2,3.0,1.0,50.0
pensò,53,53.0,0.0,0.0
andava,11,13.0,2.0,18.18
fantasticando,1,6.0,5.0,500.0
cervello,4,4.0,0.0,0.0
meglio,21,24.0,3.0,14.29
poteva,14,19.0,5.0,35.71
perchè,91,92.0,1.0,1.1
stellone,1,5.0,4.0,400.0
avea,46,48.0,2.0,4.35
resa,2,3.0,1.0,50.0
sonnacchiosa,2,8.0,6.0,300.0
grullina,1,7.0,6.0,600.0
piacere,4,7.0,3.0,75.0
ghirlanda,1,4.0,3.0,300.0
margherite,1,3.0,2.0,200.0
valesse,1,4.0,3.0,300.0
noja,2,4.0,2.0,100.0
levarsi,2,4.0,2.0,100.0
cogliere,1,3.0,2.0,200.0
fiori,5,20.0,15.0,300.0
quand,2,8.0,6.0,300.0
coniglio,49,55.0,6.0,12.24
bianco,20,25.0,5.0,25.0
occhi,31,36.0,5.0,16.13
rubino,1,5.0,4.0,400.0
passò,5,7.0,2.0,40.0
vicino,16,18.0,2.0,12.5
davvero,30,31.0,1.0,3.33
troppo,18,21.0,3.0,16.67
meravigliarsi,1,5.0,4.0,400.0
ciò,80,83.0,3.0,3.75
cosa,69,77.0,8.0,11.59
stravagante,1,5.0,4.0,400.0
sentire,8,12.0,4.0,50.0
parlare,19,25.0,6.0,31.58
diceva,14,17.0,3.0,21.43
sè,50,51.0,1.0,2.0
oimè,9,10.0,1.0,11.11
oimèi,1,3.0,2.0,200.0
fatto,17,19.0,2.0,11.76
tardi,7,11.0,4.0,57.14
quando,73,78.0,5.0,6.85
rammentò,6,8.0,2.0,33.33
seguito,3,7.0,4.0,133.33
accorse,9,15.0,6.0,66.67
dovuto,3,4.0,1.0,33.33
meravigliarsene,1,4.0,3.0,300.0
sembrò,3,14.0,11.0,366.67
assai,17,20.0,3.0,17.65
naturale,9,13.0,4.0,44.44
trasse,1,5.0,4.0,400.0
oriuolo,8,14.0,6.0,75.0
taschino,3,7.0,4.0,133.33
panciotto,2,5.0,3.0,150.0
affisò,2,10.0,8.0,400.0
scappò,3,5.0,2.0,66.67
via,50,53.0,3.0,6.0
saltò,4,5.0,1.0,25.0
piedi,25,28.0,3.0,12.0
venuto,2,2.0,0.0,0.0
mente,4,8.0,4.0,100.0
ch,51,53.0,2.0,3.92
ella,53,54.0,1.0,1.89
mai,62,65.0,3.0,4.84
veduto,9,12.0,3.0,33.33
rispettivo,1,6.0,5.0,500.0
starvici,1,2.0,1.0,100.0
divorata,2,10.0,8.0,400.0
curiosità,7,11.0,4.0,57.14
traversò,2,5.0,3.0,150.0
campo,3,4.0,1.0,33.33
correndogli,2,4.0,2.0,100.0
appresso,3,6.0,3.0,100.0
giunse,7,9.0,2.0,28.57
proprio,24,26.0,2.0,8.33
tempo,36,37.0,1.0,2.78
vederlo,1,2.0,1.0,100.0
slanciarsi,1,3.0,2.0,200.0
spaziosa,3,6.0,3.0,100.0
siepe,2,4.0,2.0,100.0
istante,20,22.0,2.0,10.0
scivolò,1,4.0,3.0,300.0
punto,21,22.0,1.0,4.76
riflettere,4,9.0,5.0,125.0
riuscirne,2,3.0,1.0,50.0
fuori,21,27.0,6.0,28.57
buca,3,6.0,3.0,100.0
sfilava,2,4.0,2.0,100.0
diritto,2,5.0,3.0,150.0
galleria,1,3.0,2.0,200.0
tunnel,1,2.0,1.0,100.0
poi,57,61.0,4.0,7.02
inabissava,1,3.0,2.0,200.0
tanto,50,51.0,1.0,2.0
rapidamente,3,7.0,4.0,133.33
solo,3,6.0,3.0,100.0
considerare,1,7.0,6.0,600.0
potuto,8,15.0,7.0,87.5
fermarsi,2,2.0,0.0,0.0
poichè,13,14.0,1.0,7.69
sentiva,6,7.0,1.0,16.67
cader,1,3.0,2.0,200.0
rotoloni,1,2.0,1.0,100.0
qualche,50,53.0,3.0,6.0
precipizio,2,6.0,4.0,200.0
rassomigliava,4,6.0,2.0,50.0
pozzo,9,13.0,4.0,44.44
profondissimo,1,2.0,1.0,100.0
arci,1,5.0,4.0,400.0
profondo,3,6.0,3.0,100.0
ruzzolava,1,4.0,3.0,300.0
adagino,2,6.0,4.0,200.0
mentre,45,49.0,4.0,8.89
cadeva,1,1.0,0.0,0.0
guardare,8,12.0,4.0,50.0
intorno,21,30.0,9.0,42.86
stupiva,1,3.0,2.0,200.0
pensando,7,12.0,5.0,71.43
avverrebbe,3,3.0,0.0,0.0
prima,39,42.0,3.0,7.69
aguzzò,1,8.0,7.0,700.0
vista,6,9.0,3.0,50.0
cercò,10,12.0,2.0,20.0
vedere,22,26.0,4.0,18.18
fondo,7,8.0,1.0,14.29
scoprire,2,7.0,5.0,250.0
accaderebbe,1,2.0,1.0,100.0
bujo,2,8.0,6.0,300.0
affatto,11,13.0,2.0,18.18
vedea,3,8.0,5.0,166.67
indi,3,7.0,4.0,133.33
guardò,19,23.0,4.0,21.05
pareti,1,7.0,6.0,600.0
osservò,27,30.0,3.0,11.11
ricoperte,1,4.0,3.0,300.0
credenze,1,1.0,0.0,0.0
scaffali,1,5.0,4.0,400.0
libri,3,7.0,4.0,133.33
quà,13,17.0,4.0,30.77
là,18,22.0,4.0,22.22
vide,18,20.0,2.0,11.11
mappe,1,3.0,2.0,200.0
quadri,1,4.0,3.0,300.0
pendeano,1,7.0,6.0,600.0
chiodi,1,4.0,3.0,300.0
andando,3,5.0,2.0,66.67
prese,9,14.0,5.0,55.56
volo,1,4.0,3.0,300.0
vasettino,2,2.0,0.0,0.0
cartello,4,6.0,2.0,50.0
lesse,3,9.0,6.0,200.0
conserva,1,6.0,5.0,500.0
arance,1,2.0,1.0,100.0
vuoto,1,2.0,1.0,100.0
restò,9,10.0,1.0,11.11
delusa,1,3.0,2.0,200.0
volle,7,7.0,0.0,0.0
lasciar,1,4.0,3.0,300.0
cadere,4,7.0,3.0,75.0
ammazzare,1,4.0,3.0,300.0
sempre,24,35.0,11.0,45.83
depose,4,4.0,0.0,0.0
altra,20,24.0,4.0,20.0
credenza,1,3.0,2.0,200.0
bene,43,48.0,5.0,11.63
dopo,28,39.0,11.0,39.29
caduta,6,9.0,3.0,50.0
tale,11,17.0,6.0,54.55
parrà,1,2.0,1.0,100.0
niente,16,21.0,5.0,31.25
ruzzolare,1,1.0,0.0,0.0
scale,1,6.0,5.0,500.0
casa,21,22.0,1.0,4.76
crederanno,2,7.0,5.0,250.0
coraggiosa,1,3.0,2.0,200.0
ora,47,51.0,4.0,8.51
innanzi,12,14.0,2.0,16.67
ancorchè,2,4.0,2.0,100.0
cadessi,1,6.0,5.0,500.0
tetto,4,8.0,4.0,100.0
caso,6,9.0,3.0,50.0
probabilmente,3,5.0,2.0,66.67
dicea,1,3.0,2.0,200.0
verità,2,6.0,4.0,200.0
finirà,1,5.0,4.0,400.0
sa,14,15.0,1.0,7.14
miglia,3,6.0,3.0,100.0
percorse,1,9.0,8.0,800.0
quest,12,13.0,1.0,8.33
sclamò,27,29.0,2.0,7.41
stò,5,6.0,1.0,20.0
toccare,1,2.0,1.0,100.0
centro,1,5.0,4.0,400.0
terra,16,18.0,2.0,12.5
vediamo,6,8.0,2.0,33.33
suppongo,3,11.0,8.0,266.67
quattrocento,1,5.0,4.0,400.0
profondità,1,3.0,2.0,200.0
vedete,6,10.0,4.0,66.67
imparate,1,2.0,1.0,100.0
molte,4,5.0,1.0,25.0
tali,2,9.0,7.0,350.0
cose,22,24.0,2.0,9.09
lezioni,9,9.0,0.0,0.0
migliore,2,4.0,2.0,100.0
occasione,3,7.0,4.0,133.33
sfoggio,1,6.0,5.0,500.0
erudizione,2,4.0,2.0,100.0
niuno,13,16.0,3.0,23.08
ascoltasse,2,8.0,6.0,300.0
meno,17,20.0,3.0,17.65
ripassarle,1,5.0,4.0,400.0
sì,17,17.0,0.0,0.0
vera,6,8.0,2.0,33.33
distanza,5,9.0,4.0,80.0
press,3,7.0,4.0,133.33
vorrei,21,24.0,3.0,14.29
sapere,6,7.0,1.0,16.67
grado,1,1.0,0.0,0.0
latitudine,2,5.0,3.0,150.0
longitudine,2,3.0,1.0,50.0
giunta,5,5.0,0.0,0.0
sapea,15,17.0,2.0,13.33
mica,5,9.0,4.0,80.0
belle,4,7.0,3.0,75.0
parolone,2,6.0,4.0,200.0
dire,27,30.0,3.0,11.11
disse,279,284.0,5.0,1.79
rincominciò,8,13.0,5.0,62.5
dovessi,1,5.0,4.0,400.0
traversare,3,7.0,4.0,133.33
bella,9,17.0,8.0,88.89
uscissi,1,8.0,7.0,700.0
genti,1,3.0,2.0,200.0
camminano,1,2.0,1.0,100.0
capo,47,48.0,1.0,2.13
credo,18,20.0,2.0,11.11
chiamino,1,3.0,2.0,200.0
antipatie,1,3.0,2.0,200.0
volta,36,37.0,1.0,2.78
contenta,7,8.0,1.0,14.29
quel,50,53.0,3.0,6.0
nome,7,9.0,2.0,28.57
suonava,2,3.0,1.0,50.0
giusto,6,8.0,2.0,33.33
orecchio,9,11.0,2.0,22.22
domanderò,1,6.0,5.0,500.0
paese,3,8.0,5.0,166.67
grazia,9,12.0,3.0,33.33
signora,1,6.0,5.0,500.0
nuova,5,11.0,6.0,120.0
zelanda,1,4.0,3.0,300.0
australia,1,3.0,2.0,200.0
riverenza,4,5.0,1.0,25.0
parlava,14,16.0,2.0,14.29
figuratevi,3,5.0,2.0,66.67
casca,2,4.0,2.0,100.0
dite,7,12.0,5.0,71.43
potreste,1,3.0,2.0,200.0
farla,2,3.0,1.0,50.0
domanda,11,13.0,2.0,18.18
sciocca,3,8.0,5.0,166.67
forse,27,30.0,3.0,11.11
troverò,1,4.0,3.0,300.0
scritto,4,8.0,4.0,100.0
parte,8,10.0,2.0,25.0
colaggiù,2,9.0,7.0,350.0
cinguettare,1,3.0,2.0,200.0
dina,15,18.0,3.0,20.0
cercherà,1,10.0,9.0,900.0
stanotte,2,6.0,4.0,200.0
gatta,4,13.0,9.0,225.0
spero,3,10.0,7.0,233.33
rammenteranno,1,4.0,3.0,300.0
darle,1,3.0,2.0,200.0
piattino,1,4.0,3.0,300.0
latte,2,7.0,5.0,250.0
prenderanno,1,2.0,1.0,100.0
tè,17,19.0,2.0,11.76
cara,9,13.0,4.0,44.44
meco,2,3.0,1.0,50.0
quaggiù,3,5.0,2.0,66.67
son,28,30.0,2.0,7.14
sorci,4,8.0,4.0,100.0
aria,20,22.0,2.0,10.0
sai,10,19.0,9.0,90.0
potresti,3,5.0,2.0,66.67
afferrare,4,6.0,2.0,50.0
nottola,2,5.0,3.0,150.0
simile,9,14.0,5.0,55.56
sorcio,44,45.0,1.0,2.27
gatti,13,16.0,3.0,23.08
mangiano,6,10.0,4.0,66.67
nottole,4,8.0,4.0,100.0
quì,38,44.0,6.0,15.79
cominciò,23,26.0,3.0,13.04
sonniferare,1,2.0,1.0,100.0
sonno,4,9.0,5.0,125.0
veglia,1,7.0,6.0,600.0
continuò,41,43.0,2.0,4.88
ruminare,1,5.0,4.0,400.0
denti,3,6.0,3.0,100.0
talvolta,4,4.0,0.0,0.0
potendo,2,5.0,3.0,150.0
rispondere,7,8.0,1.0,14.29
nessuna,2,5.0,3.0,150.0
quistioni,2,4.0,2.0,100.0
importava,1,2.0,1.0,100.0
invertiva,1,4.0,3.0,300.0
senso,9,10.0,1.0,11.11
esse,5,11.0,6.0,120.0
sonnecchiava,1,3.0,2.0,200.0
già,26,28.0,2.0,7.69
sognare,1,1.0,0.0,0.0
braccetto,2,3.0,1.0,50.0
austera,2,4.0,2.0,100.0
dìmmi,1,4.0,3.0,300.0
mangiata,1,1.0,0.0,0.0
tonfete,1,3.0,2.0,200.0
cascò,2,3.0,1.0,50.0
subito,34,37.0,3.0,8.82
mucchio,1,7.0,6.0,600.0
ramicelli,1,3.0,2.0,200.0
foglie,6,11.0,5.0,83.33
secche,1,1.0,0.0,0.0
finì,3,9.0,6.0,200.0
male,9,14.0,5.0,55.56
lesta,3,12.0,9.0,300.0
pronta,3,4.0,1.0,33.33
alto,5,9.0,4.0,80.0
davanti,7,8.0,1.0,14.29
lungo,11,15.0,4.0,36.36
corridoio,3,6.0,3.0,100.0
percorso,1,4.0,3.0,300.0
perdere,3,5.0,2.0,66.67
ali,3,6.0,3.0,100.0
corse,3,6.0,3.0,100.0
sentì,26,29.0,3.0,11.54
sclamava,1,3.0,2.0,200.0
svoltava,1,6.0,5.0,500.0
cantonata,2,7.0,5.0,250.0
giurammio,1,1.0,0.0,0.0
lì,16,19.0,3.0,18.75
raggiungerlo,1,2.0,1.0,100.0
appena,22,26.0,4.0,18.18
trovò,13,15.0,2.0,15.38
sala,11,17.0,6.0,54.55
lunga,5,6.0,1.0,20.0
bassa,7,10.0,3.0,42.86
illuminata,1,6.0,5.0,500.0
fila,2,4.0,2.0,100.0
lampade,1,4.0,3.0,300.0
pendevano,1,1.0,0.0,0.0
porte,1,3.0,2.0,200.0
tutt,17,19.0,2.0,11.76
tutte,16,20.0,4.0,25.0
serrate,1,4.0,3.0,300.0
andò,16,19.0,3.0,18.75
provando,1,3.0,2.0,200.0
usci,2,3.0,1.0,50.0
possibile,3,7.0,4.0,133.33
aprirne,2,8.0,6.0,300.0
qualcheduno,6,8.0,2.0,33.33
inutilmente,3,13.0,10.0,333.33
mise,25,32.0,7.0,28.0
camminar,1,3.0,2.0,200.0
mestamente,10,11.0,1.0,10.0
mezzo,19,23.0,4.0,21.05
tratto,3,5.0,2.0,66.67
capitò,2,7.0,5.0,250.0
vicina,3,3.0,0.0,0.0
piccolo,9,11.0,2.0,22.22
tavolino,3,8.0,5.0,166.67
cristallo,6,7.0,1.0,16.67
solido,1,3.0,2.0,200.0
sorretto,1,5.0,4.0,400.0
tre,29,34.0,5.0,17.24
esso,5,7.0,2.0,40.0
chiavettina,8,10.0,2.0,25.0
oro,6,12.0,6.0,100.0
or,10,10.0,0.0,0.0
idea,12,15.0,3.0,25.0
potesse,9,13.0,4.0,44.44
aprire,2,7.0,5.0,250.0
provò,6,11.0,5.0,83.33
toppe,1,8.0,7.0,700.0
grandi,4,6.0,2.0,50.0
piccola,4,7.0,3.0,75.0
