Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,13.0,1.0,8.33
premier,8,8.0,0.0,0.0
fond,8,8.0,0.0,0.0
terrier,4,4.0,0.0,0.0
alice,395,395.0,0.0,0.0
assise,6,6.0,0.0,0.0
auprès,8,8.0,0.0,0.0
sœur,10,10.0,0.0,0.0
gazon,3,3.0,0.0,0.0
commençait,7,7.0,0.0,0.0
ennuyer,1,1.0,0.0,0.0
rester,7,7.0,0.0,0.0
rien,54,54.0,0.0,0.0
jeté,1,1.0,0.0,0.0
yeux,41,41.0,0.0,0.0
livre,6,6.0,0.0,0.0
lisait,2,2.0,0.0,0.0
quoi,25,25.0,0.0,0.0
images,3,3.0,0.0,0.0
dialogues,2,2.0,0.0,0.0
belle,9,9.0,0.0,0.0
avance,2,2.0,0.0,0.0
pensait,10,10.0,0.0,0.0
causeries,1,1.0,0.0,0.0
mise,2,2.0,0.0,0.0
réfléchir,4,4.0,0.0,0.0
tant,14,14.0,0.0,0.0
bien,219,219.0,0.0,0.0
mal,14,15.0,1.0,7.14
chaleur,1,1.0,0.0,0.0
jour,15,15.0,0.0,0.0
endormait,1,1.0,0.0,0.0
rendait,1,1.0,0.0,0.0
lourde,1,1.0,0.0,0.0
demandant,3,3.0,0.0,0.0
plaisir,6,6.0,0.0,0.0
couronne,4,4.0,0.0,0.0
marguerites,1,1.0,0.0,0.0
valait,1,1.0,0.0,0.0
peine,20,20.0,0.0,0.0
lever,4,4.0,0.0,0.0
cueillir,1,1.0,0.0,0.0
fleurs,6,6.0,0.0,0.0
coup,19,19.0,0.0,0.0
lapin,51,51.0,0.0,0.0
blanc,23,23.0,0.0,0.0
roses,4,4.0,0.0,0.0
passa,7,7.0,0.0,0.0
près,33,33.0,0.0,0.0
étonnant,1,1.0,0.0,0.0
trouva,27,27.0,0.0,0.0
extraordinaire,4,4.0,0.0,0.0
entendre,14,14.0,0.0,0.0
parler,23,23.0,0.0,0.0
disait,13,13.0,0.0,0.0
ah,15,15.0,0.0,0.0
arriverai,2,2.0,0.0,0.0
tard,7,7.0,0.0,0.0
songeant,1,1.0,0.0,0.0
après,29,29.0,0.0,0.0
sembla,2,2.0,0.0,0.0
dû,3,3.0,0.0,0.0
étonner,2,2.0,0.0,0.0
moment,18,18.0,0.0,0.0
paru,2,2.0,0.0,0.0
naturel,3,3.0,0.0,0.0
cependant,14,14.0,0.0,0.0
vint,5,5.0,0.0,0.0
tirer,5,5.0,0.0,0.0
montre,6,6.0,0.0,0.0
gousset,2,2.0,0.0,0.0
regarda,15,15.0,0.0,0.0
puis,51,51.0,0.0,0.0
prit,19,19.0,0.0,0.0
courir,9,9.0,0.0,0.0
plus,98,98.0,0.0,0.0
sauta,2,2.0,0.0,0.0
pieds,26,26.0,0.0,0.0
frappée,2,2.0,0.0,0.0
idée,17,17.0,0.0,0.0
jamais,45,46.0,1.0,2.22
entraînée,1,1.0,0.0,0.0
curiosité,5,5.0,0.0,0.0
élança,1,1.0,0.0,0.0
traces,1,1.0,0.0,0.0
travers,8,8.0,0.0,0.0
champ,2,2.0,0.0,0.0
arriva,5,5.0,0.0,0.0
temps,50,50.0,0.0,0.0
voir,33,33.0,0.0,0.0
disparaître,4,4.0,0.0,0.0
large,5,5.0,0.0,0.0
trou,5,5.0,0.0,0.0
pied,11,11.0,0.0,0.0
haie,2,2.0,0.0,0.0
instant,19,19.0,0.0,0.0
poursuite,3,4.0,1.0,33.33
songer,2,2.0,0.0,0.0
sortirait,2,2.0,0.0,0.0
pendant,18,18.0,0.0,0.0
bout,19,19.0,0.0,0.0
chemin,11,11.0,0.0,0.0
allait,19,19.0,0.0,0.0
droit,8,8.0,0.0,0.0
tunnel,1,1.0,0.0,0.0
plongeait,1,1.0,0.0,0.0
perpendiculairement,1,1.0,0.0,0.0
façon,7,8.0,1.0,14.29
brusque,3,3.0,0.0,0.0
sentit,5,5.0,0.0,0.0
tomber,6,6.0,0.0,0.0
puits,9,9.0,0.0,0.0
grande,28,28.0,0.0,0.0
profondeur,2,2.0,0.0,0.0
pensé,1,1.0,0.0,0.0
retenir,3,3.0,0.0,0.0
choses,19,19.0,0.0,0.0
vraiment,14,14.0,0.0,0.0
profond,6,6.0,0.0,0.0
tombait,1,2.0,1.0,100.0
doucement,7,7.0,0.0,0.0
loisir,1,1.0,0.0,0.0
chute,4,4.0,0.0,0.0
regarder,15,15.0,0.0,0.0
autour,22,22.0,0.0,0.0
demander,10,10.0,0.0,0.0
étonnement,5,5.0,0.0,0.0
devenir,3,3.0,0.0,0.0
abord,27,27.0,0.0,0.0
savoir,26,26.0,0.0,0.0
faisait,13,13.0,0.0,0.0
sombre,2,2.0,0.0,0.0
ensuite,7,7.0,0.0,0.0
porta,2,2.0,0.0,0.0
parois,1,1.0,0.0,0.0
aperçut,14,14.0,0.0,0.0
garnies,2,2.0,0.0,0.0
armoires,2,2.0,0.0,0.0
étagères,1,1.0,0.0,0.0
çà,4,4.0,0.0,0.0
vit,10,10.0,0.0,0.0
pendues,2,2.0,0.0,0.0
clous,1,1.0,0.0,0.0
cartes,5,5.0,0.0,0.0
géographiques,1,1.0,0.0,0.0
passant,7,7.0,0.0,0.0
rayon,1,1.0,0.0,0.0
pot,3,3.0,0.0,0.0
confiture,1,1.0,0.0,0.0
portant,4,4.0,0.0,0.0
étiquette,2,2.0,0.0,0.0
marmelade,1,1.0,0.0,0.0
oranges,1,1.0,0.0,0.0
grand,31,33.0,2.0,6.45
regret,1,1.0,0.0,0.0
vide,1,1.0,0.0,0.0
osait,2,2.0,0.0,0.0
laisser,3,3.0,0.0,0.0
crainte,1,1.0,0.0,0.0
tuer,1,1.0,0.0,0.0
quelqu,6,6.0,0.0,0.0
arrangea,1,1.0,0.0,0.0
manière,12,12.0,0.0,0.0
déposer,1,1.0,0.0,0.0
certes,5,5.0,0.0,0.0
dit,416,416.0,0.0,0.0
pareille,4,4.0,0.0,0.0
moquerai,1,1.0,0.0,0.0
dégringoler,1,1.0,0.0,0.0
escalier,3,3.0,0.0,0.0
trouver,15,15.0,0.0,0.0
brave,1,1.0,0.0,0.0
chez,8,8.0,0.0,0.0
tomberais,1,1.0,0.0,0.0
toits,1,1.0,0.0,0.0
ferais,1,1.0,0.0,0.0
plainte,1,1.0,0.0,0.0
probable,3,3.0,0.0,0.0
tombe,6,6.0,0.0,0.0
finira,1,1.0,0.0,0.0
curieuse,5,5.0,0.0,0.0
combien,7,7.0,0.0,0.0
milles,3,3.0,0.0,0.0
déjà,9,9.0,0.0,0.0
faits,2,2.0,0.0,0.0
centre,1,1.0,0.0,0.0
terre,16,16.0,0.0,0.0
voyons,6,6.0,0.0,0.0
quatre,10,10.0,0.0,0.0
mille,6,6.0,0.0,0.0
semble,7,7.0,0.0,0.0
voyez,7,7.0,0.0,0.0
appris,3,3.0,0.0,0.0
leçons,11,11.0,0.0,0.0
bonne,16,16.0,0.0,0.0
occasion,6,6.0,0.0,0.0
parade,1,1.0,0.0,0.0
point,10,10.0,0.0,0.0
auditeur,1,1.0,0.0,0.0
exercice,1,1.0,0.0,0.0
répéter,8,8.0,0.0,0.0
leçon,2,2.0,0.0,0.0
oui,15,15.0,0.0,0.0
degré,1,1.0,0.0,0.0
latitude,2,2.0,0.0,0.0
longitude,2,3.0,1.0,50.0
trouve,3,3.0,0.0,0.0
moindre,10,10.0,0.0,0.0
voulait,5,5.0,0.0,0.0
dire,60,60.0,0.0,0.0
grands,8,8.0,0.0,0.0
mots,23,23.0,0.0,0.0
paraissaient,1,1.0,0.0,0.0
beaux,1,1.0,0.0,0.0
sonores,1,1.0,0.0,0.0
bientôt,27,27.0,0.0,0.0
reprit,9,9.0,0.0,0.0
allais,5,5.0,0.0,0.0
traverser,2,2.0,0.0,0.0
complétement,5,5.0,0.0,0.0
drôle,14,14.0,0.0,0.0
milieu,10,10.0,0.0,0.0
gens,15,15.0,0.0,0.0
marchent,1,1.0,0.0,0.0
tête,71,71.0,0.0,0.0
bas,18,18.0,0.0,0.0
antipathies,1,2.0,1.0,100.0
crois,20,20.0,0.0,0.0
fâchée,3,3.0,0.0,0.0
effet,15,15.0,0.0,0.0
eh,20,20.0,0.0,0.0
pays,3,3.0,0.0,0.0
pardon,7,7.0,0.0,0.0
madame,3,3.0,0.0,0.0
nouvelle,3,3.0,0.0,0.0
zemble,1,1.0,0.0,0.0
australie,1,1.0,0.0,0.0
essaya,6,6.0,0.0,0.0
révérence,3,3.0,0.0,0.0
air,48,48.0,0.0,0.0
dites,11,11.0,0.0,0.0
prendriez,2,2.0,0.0,0.0
petite,50,50.0,0.0,0.0
ignorante,1,2.0,1.0,100.0
pensera,1,1.0,0.0,0.0
dame,1,1.0,0.0,0.0
ferai,5,5.0,0.0,0.0
question,16,16.0,0.0,0.0
non,39,39.0,0.0,0.0
faut,26,26.0,0.0,0.0
verrai,1,1.0,0.0,0.0
écrit,5,5.0,0.0,0.0
quelque,36,36.0,0.0,0.0
part,9,9.0,0.0,0.0
faute,3,3.0,0.0,0.0
mieux,20,20.0,0.0,0.0
remit,8,8.0,0.0,0.0
dinah,16,16.0,0.0,0.0
remarquera,1,1.0,0.0,0.0
absence,3,3.0,0.0,0.0
soir,2,2.0,0.0,0.0
sûr,8,8.0,0.0,0.0
chat,32,32.0,0.0,0.0
pourvu,3,3.0,0.0,0.0
oublie,2,3.0,1.0,50.0
donner,3,3.0,0.0,0.0
jatte,1,1.0,0.0,0.0
lait,2,2.0,0.0,0.0
heure,14,14.0,0.0,0.0
thé,17,17.0,0.0,0.0
minette,1,1.0,0.0,0.0
souris,54,54.0,0.0,0.0
airs,2,2.0,0.0,0.0
peur,12,12.0,0.0,0.0
pourrais,6,6.0,0.0,0.0
attraper,3,4.0,1.0,33.33
chauve,1,1.0,0.0,0.0
ressemble,3,3.0,0.0,0.0
beaucoup,16,16.0,0.0,0.0
sais,15,15.0,0.0,0.0
chats,11,11.0,0.0,0.0
mangent,5,5.0,0.0,0.0
chauves,5,5.0,0.0,0.0
sommeil,1,1.0,0.0,0.0
commença,17,17.0,0.0,0.0
gagner,2,2.0,0.0,0.0
répétait,1,1.0,0.0,0.0
moitié,13,13.0,0.0,0.0
endormie,3,3.0,0.0,0.0
quelquefois,2,2.0,0.0,0.0
comprenez,15,15.0,0.0,0.0
puisqu,2,2.0,0.0,0.0
pouvait,25,25.0,0.0,0.0
répondre,4,5.0,1.0,25.0
questions,4,4.0,0.0,0.0
importait,1,1.0,0.0,0.0
poser,1,1.0,0.0,0.0
assoupissait,1,1.0,0.0,0.0
rêver,2,2.0,0.0,0.0
promenait,1,2.0,1.0,100.0
tenant,5,6.0,1.0,20.0
main,20,20.0,0.0,0.0
disant,10,11.0,1.0,10.0
sérieusement,2,2.0,0.0,0.0
dis,7,7.0,0.0,0.0
vérité,2,2.0,0.0,0.0
mangé,3,3.0,0.0,0.0
pouf,1,1.0,0.0,0.0
voilà,28,28.0,0.0,0.0
étendue,4,4.0,0.0,0.0
tas,1,1.0,0.0,0.0
fagots,1,1.0,0.0,0.0
feuilles,5,5.0,0.0,0.0
sèches,1,1.0,0.0,0.0
fini,9,9.0,0.0,0.0
vite,21,21.0,0.0,0.0
remet,1,1.0,0.0,0.0
regarde,3,3.0,0.0,0.0
noir,1,1.0,0.0,0.0
devant,6,7.0,1.0,16.67
long,16,16.0,0.0,0.0
passage,6,6.0,0.0,0.0
court,2,2.0,0.0,0.0
toutes,20,20.0,0.0,0.0
jambes,3,3.0,0.0,0.0
perdre,5,5.0,0.0,0.0
vent,3,3.0,0.0,0.0
arrive,7,7.0,0.0,0.0
tourne,1,1.0,0.0,0.0
coin,4,4.0,0.0,0.0
moustache,1,1.0,0.0,0.0
oreilles,3,3.0,0.0,0.0
tourné,1,1.0,0.0,0.0
disparu,8,8.0,0.0,0.0
salle,17,17.0,0.0,0.0
longue,8,8.0,0.0,0.0
basse,9,9.0,0.0,0.0
éclairée,1,1.0,0.0,0.0
rangée,3,3.0,0.0,0.0
lampes,1,1.0,0.0,0.0
plafond,4,4.0,0.0,0.0
portes,3,3.0,0.0,0.0
fermées,1,2.0,1.0,100.0
vainement,1,1.0,0.0,0.0
tenté,1,1.0,0.0,0.0
ouvrir,6,6.0,0.0,0.0
celles,2,2.0,0.0,0.0
côté,29,29.0,0.0,0.0
gauche,5,5.0,0.0,0.0
promena,1,1.0,0.0,0.0
tristement,9,9.0,0.0,0.0
beau,10,10.0,0.0,0.0
rencontra,2,2.0,0.0,0.0
table,22,22.0,0.0,0.0
trois,30,30.0,0.0,0.0
verre,6,6.0,0.0,0.0
massif,1,1.0,0.0,0.0
dessus,22,22.0,0.0,0.0
toute,28,28.0,0.0,0.0
clef,10,10.0,0.0,0.0
or,9,9.0,0.0,0.0
pensa,44,44.0,0.0,0.0
aussitôt,13,14.0,1.0,7.69
celle,7,7.0,0.0,0.0
hélas,5,6.0,1.0,20.0
serrures,1,1.0,0.0,0.0
grandes,2,2.0,0.0,0.0
put,5,5.0,0.0,0.0
toujours,14,14.0,0.0,0.0
aucune,6,6.0,0.0,0.0
second,3,3.0,0.0,0.0
tour,9,9.0,0.0,0.0
rideau,1,1.0,0.0,0.0
placé,2,2.0,0.0,0.0
derrière,10,10.0,0.0,0.0
trouvait,14,14.0,0.0,0.0
porte,34,34.0,0.0,0.0
quinze,2,2.0,0.0,0.0
pouces,6,6.0,0.0,0.0
serrure,1,1.0,0.0,0.0
joie,5,5.0,0.0,0.0
merveille,1,1.0,0.0,0.0
ouvrit,6,6.0,0.0,0.0
conduisait,1,1.0,0.0,0.0
étroit,2,2.0,0.0,0.0
rat,1,1.0,0.0,0.0
agenouilla,1,1.0,0.0,0.0
jetant,2,2.0,0.0,0.0
découvrit,3,3.0,0.0,0.0
ravissant,2,2.0,0.0,0.0
jardin,14,14.0,0.0,0.0
monde,23,23.0,0.0,0.0
oh,36,36.0,0.0,0.0
tardait,2,2.0,0.0,0.0
sortir,6,6.0,0.0,0.0
ténébreuse,1,1.0,0.0,0.0
errer,1,1.0,0.0,0.0
carrés,1,1.0,0.0,0.0
brillantes,1,1.0,0.0,0.0
fraîches,2,2.0,0.0,0.0
