Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapter,12,12.0,0.0,0.0
rabbit,51,56.0,5.0,9.8
hole,5,10.0,5.0,100.0
alice,397,400.0,3.0,0.76
beginning,14,21.0,7.0,50.0
get,46,49.0,3.0,6.52
tired,7,11.0,4.0,57.14
sitting,10,16.0,6.0,60.0
sister,9,10.0,1.0,11.11
bank,3,7.0,4.0,133.33
nothing,34,36.0,2.0,5.88
twice,5,7.0,2.0,40.0
peeped,3,15.0,12.0,400.0
book,11,12.0,1.0,9.09
reading,3,5.0,2.0,66.67
pictures,4,5.0,1.0,25.0
conversations,2,7.0,5.0,250.0
use,18,23.0,5.0,27.78
thought,74,76.0,2.0,2.7
without,26,27.0,1.0,3.85
considering,3,3.0,0.0,0.0
mind,11,16.0,5.0,45.45
well,63,65.0,2.0,3.17
hot,7,13.0,6.0,85.71
day,29,33.0,4.0,13.79
made,30,35.0,5.0,16.67
feel,8,8.0,0.0,0.0
sleepy,5,14.0,9.0,180.0
stupid,6,10.0,4.0,66.67
whether,11,14.0,3.0,27.27
pleasure,2,2.0,0.0,0.0
making,8,9.0,1.0,12.5
daisy,1,7.0,6.0,600.0
chain,1,8.0,7.0,700.0
worth,4,9.0,5.0,125.0
trouble,6,7.0,1.0,16.67
getting,22,26.0,4.0,18.18
picking,2,13.0,11.0,550.0
daisies,1,2.0,1.0,100.0
suddenly,13,14.0,1.0,7.69
white,30,35.0,5.0,16.67
pink,1,3.0,2.0,200.0
eyes,29,32.0,3.0,10.34
ran,16,23.0,7.0,43.75
close,13,15.0,2.0,15.38
remarkable,2,7.0,5.0,250.0
think,53,55.0,2.0,3.77
much,51,51.0,0.0,0.0
way,56,56.0,0.0,0.0
hear,14,25.0,11.0,78.57
say,51,55.0,4.0,7.84
oh,45,46.0,1.0,2.22
dear,29,34.0,5.0,17.24
shall,25,28.0,3.0,12.0
late,6,7.0,1.0,16.67
afterwards,2,4.0,2.0,100.0
occurred,2,7.0,5.0,250.0
wondered,1,5.0,4.0,400.0
time,71,73.0,2.0,2.82
seemed,27,32.0,5.0,18.52
quite,55,55.0,0.0,0.0
natural,4,9.0,5.0,125.0
actually,1,3.0,2.0,200.0
took,24,25.0,1.0,4.17
watch,8,9.0,1.0,12.5
waistcoat,2,5.0,3.0,150.0
pocket,7,8.0,1.0,14.29
looked,45,47.0,2.0,4.44
hurried,11,11.0,0.0,0.0
started,2,3.0,1.0,50.0
feet,19,22.0,3.0,15.79
flashed,1,3.0,2.0,200.0
across,5,7.0,2.0,40.0
never,48,53.0,5.0,10.42
seen,15,16.0,1.0,6.67
either,10,12.0,2.0,20.0
take,22,28.0,6.0,27.27
burning,1,4.0,3.0,300.0
curiosity,5,12.0,7.0,140.0
field,1,5.0,4.0,400.0
fortunately,1,6.0,5.0,500.0
just,52,55.0,3.0,5.77
see,67,71.0,4.0,5.97
pop,1,1.0,0.0,0.0
large,33,38.0,5.0,15.15
hedge,2,4.0,2.0,100.0
another,22,26.0,4.0,18.18
moment,31,32.0,1.0,3.23
went,83,83.0,0.0,0.0
world,7,8.0,1.0,14.29
straight,2,3.0,1.0,50.0
like,85,94.0,9.0,10.59
tunnel,1,1.0,0.0,0.0
dipped,2,9.0,7.0,350.0
stopping,1,3.0,2.0,200.0
found,32,32.0,0.0,0.0
falling,2,4.0,2.0,100.0
deep,7,7.0,0.0,0.0
fell,6,8.0,2.0,33.33
slowly,8,16.0,8.0,100.0
plenty,2,4.0,2.0,100.0
look,29,30.0,1.0,3.45
wonder,18,19.0,1.0,5.56
going,27,32.0,5.0,18.52
happen,8,10.0,2.0,25.0
next,30,32.0,2.0,6.67
first,51,54.0,3.0,5.88
tried,19,23.0,4.0,21.05
make,27,31.0,4.0,14.81
coming,9,13.0,4.0,44.44
dark,3,6.0,3.0,100.0
anything,20,20.0,0.0,0.0
sides,4,18.0,14.0,350.0
noticed,8,12.0,4.0,50.0
filled,3,4.0,1.0,33.33
cupboards,2,4.0,2.0,100.0
shelves,2,2.0,0.0,0.0
saw,14,14.0,0.0,0.0
maps,1,5.0,4.0,400.0
hung,1,5.0,4.0,400.0
upon,26,29.0,3.0,11.54
pegs,1,2.0,1.0,100.0
jar,2,3.0,1.0,50.0
one,104,106.0,2.0,1.92
passed,5,11.0,6.0,120.0
labelled,1,1.0,0.0,0.0
orange,1,9.0,8.0,800.0
marmalade,1,3.0,2.0,200.0
great,39,44.0,5.0,12.82
disappointment,1,2.0,1.0,100.0
empty,1,2.0,1.0,100.0
drop,1,1.0,0.0,0.0
fear,4,8.0,4.0,100.0
killing,1,2.0,1.0,100.0
somebody,7,10.0,3.0,42.86
managed,4,10.0,6.0,150.0
put,31,32.0,1.0,3.23
past,3,16.0,13.0,433.33
fall,7,11.0,4.0,57.14
tumbling,2,3.0,1.0,50.0
stairs,3,6.0,3.0,100.0
brave,1,7.0,6.0,600.0
ll,57,60.0,3.0,5.26
home,5,11.0,6.0,120.0
wouldn,13,15.0,2.0,15.38
even,19,27.0,8.0,42.11
top,8,14.0,6.0,75.0
house,18,25.0,7.0,38.89
likely,5,7.0,2.0,40.0
true,4,5.0,1.0,25.0
come,46,48.0,2.0,4.35
end,17,20.0,3.0,17.65
many,12,12.0,0.0,0.0
miles,3,10.0,7.0,233.33
ve,44,51.0,7.0,15.91
fallen,4,7.0,3.0,75.0
said,462,465.0,3.0,0.65
aloud,5,8.0,3.0,60.0
must,44,44.0,0.0,0.0
somewhere,3,10.0,7.0,233.33
near,15,15.0,0.0,0.0
centre,1,4.0,3.0,300.0
earth,4,9.0,5.0,125.0
let,22,22.0,0.0,0.0
four,8,10.0,2.0,25.0
thousand,2,3.0,1.0,50.0
learnt,2,8.0,6.0,300.0
several,4,16.0,12.0,300.0
