Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,3.0,2.0,200.0
kapitel,12,18.0,6.0,50.0
hinunter,14,15.0,1.0,7.14
kaninchenbau,3,10.0,7.0,233.33
alice,388,393.0,5.0,1.29
fing,47,51.0,4.0,8.51
langweilen,1,6.0,5.0,500.0
saß,14,19.0,5.0,35.71
schon,24,34.0,10.0,41.67
lange,19,26.0,7.0,36.84
schwester,10,16.0,6.0,60.0
ufer,5,12.0,7.0,140.0
thun,24,27.0,3.0,12.5
buch,3,10.0,7.0,233.33
las,3,6.0,3.0,100.0
gefiel,4,5.0,1.0,25.0
weder,4,9.0,5.0,125.0
bilder,3,10.0,7.0,233.33
gespräche,2,6.0,4.0,200.0
darin,12,16.0,4.0,33.33
nützen,3,5.0,2.0,66.67
bücher,1,13.0,12.0,1200.0
dachte,65,67.0,2.0,3.08
überlegte,5,10.0,5.0,100.0
eben,31,32.0,1.0,3.23
gut,31,39.0,8.0,25.81
ging,26,34.0,8.0,30.77
schläfrig,3,12.0,9.0,300.0
dumm,4,15.0,11.0,275.0
hitze,1,5.0,4.0,400.0
mühe,8,20.0,12.0,150.0
werth,5,7.0,2.0,40.0
sei,35,37.0,2.0,5.71
aufzustehen,1,4.0,3.0,300.0
gänseblümchen,1,9.0,8.0,800.0
pflücken,1,4.0,3.0,300.0
kette,1,5.0,4.0,400.0
plötzlich,12,19.0,7.0,58.33
weißes,1,9.0,8.0,800.0
kaninchen,44,50.0,6.0,13.64
rothen,3,8.0,5.0,166.67
augen,25,30.0,5.0,20.0
dicht,13,15.0,2.0,15.38
vorbeirannte,1,4.0,3.0,300.0
grade,1,4.0,3.0,300.0
merkwürdig,3,9.0,6.0,200.0
fand,22,28.0,6.0,27.27
außerordentlich,1,4.0,3.0,300.0
sagen,33,39.0,6.0,18.18
hörte,25,31.0,6.0,24.0
weh,9,16.0,7.0,77.78
spät,5,10.0,5.0,100.0
kommen,21,30.0,9.0,42.86
später,1,7.0,6.0,600.0
fiel,12,12.0,0.0,0.0
darüber,8,13.0,5.0,62.5
hätte,20,27.0,7.0,35.0
wundern,4,12.0,8.0,200.0
sollen,8,18.0,10.0,125.0
zeit,36,45.0,9.0,25.0
kam,39,42.0,3.0,7.69
ganz,82,87.0,5.0,6.1
natürlich,20,27.0,7.0,35.0
uhr,11,15.0,4.0,36.36
westentasche,2,3.0,1.0,50.0
zog,6,12.0,6.0,100.0
sah,47,62.0,15.0,31.91
eilig,9,16.0,7.0,77.78
fortlief,2,7.0,5.0,250.0
sprang,6,11.0,5.0,83.33
nie,25,29.0,4.0,16.0
vorgekommen,1,4.0,3.0,300.0
sehen,43,46.0,3.0,6.98
neugierde,3,9.0,6.0,200.0
brennend,1,15.0,14.0,1400.0
rannte,9,16.0,7.0,77.78
grasplatz,1,5.0,4.0,400.0
rechten,9,13.0,4.0,44.44
großes,4,11.0,7.0,175.0
loch,2,7.0,5.0,250.0
hecke,2,5.0,3.0,150.0
schlüpfen,1,9.0,8.0,800.0
nächsten,15,26.0,11.0,73.33
augenblick,23,24.0,1.0,4.35
hineingesprungen,1,7.0,6.0,600.0
bedenken,1,10.0,9.0,900.0
welt,6,10.0,4.0,66.67
herauskommen,1,9.0,8.0,800.0
eingang,3,5.0,2.0,66.67
lief,10,12.0,2.0,20.0
erst,21,28.0,7.0,33.33
geradeaus,1,5.0,4.0,400.0
tunnel,1,3.0,2.0,200.0
abwärts,2,10.0,8.0,400.0
ehe,13,19.0,6.0,46.15
gedanken,7,8.0,1.0,14.29
fassen,2,11.0,9.0,450.0
konnte,51,57.0,6.0,11.76
schnell,35,43.0,8.0,22.86
festzuhalten,1,4.0,3.0,300.0
fühlte,7,10.0,3.0,42.86
schien,20,30.0,10.0,50.0
tiefen,3,10.0,7.0,233.33
brunnen,6,11.0,5.0,83.33
entweder,3,12.0,9.0,300.0
mußte,10,18.0,8.0,80.0
tief,9,10.0,1.0,11.11
langsam,8,11.0,3.0,37.5
genug,24,29.0,5.0,20.83
beim,6,9.0,3.0,50.0
fallen,7,20.0,13.0,185.71
umzusehen,3,6.0,3.0,100.0
wohl,45,51.0,6.0,13.33
geschehen,6,12.0,6.0,100.0
zuerst,15,24.0,9.0,60.0
versuchte,12,20.0,8.0,66.67
wissen,21,27.0,6.0,28.57
wohin,5,12.0,7.0,140.0
käme,2,9.0,7.0,350.0
dunkel,2,5.0,3.0,150.0
erkennen,1,5.0,4.0,400.0
besah,1,6.0,5.0,500.0
wände,1,7.0,6.0,600.0
brunnens,1,7.0,6.0,600.0
bemerkte,14,18.0,4.0,28.57
küchenschränken,1,9.0,8.0,800.0
bücherbrettern,1,4.0,3.0,300.0
bedeckt,2,4.0,2.0,100.0
erblickte,3,12.0,9.0,300.0
landkarten,1,7.0,6.0,600.0
haken,1,13.0,12.0,1200.0
aufgehängt,2,5.0,3.0,150.0
nahm,17,23.0,6.0,35.29
vorbeifallen,1,5.0,4.0,400.0
bretter,1,4.0,3.0,300.0
töpfchen,1,1.0,0.0,0.0
aufschrift,1,9.0,8.0,800.0
eingemachte,1,7.0,6.0,600.0
apfelsinen,1,8.0,7.0,700.0
großen,17,25.0,8.0,47.06
verdruß,3,7.0,4.0,133.33
leer,1,9.0,8.0,800.0
lassen,11,15.0,4.0,36.36
furcht,3,5.0,2.0,66.67
jemand,8,12.0,4.0,50.0
tödten,1,6.0,5.0,500.0
gelang,4,7.0,3.0,75.0
schrank,1,5.0,4.0,400.0
vorbeikam,1,5.0,4.0,400.0
schieben,2,8.0,6.0,300.0
fall,14,29.0,15.0,107.14
daraus,3,4.0,1.0,33.33
treppe,3,14.0,11.0,366.67
stolpere,1,7.0,6.0,600.0
muthig,1,6.0,5.0,500.0
haus,8,11.0,3.0,37.5
finden,9,16.0,7.0,77.78
redens,1,3.0,2.0,200.0
dachspitze,1,6.0,5.0,500.0
fiele,1,8.0,7.0,700.0
wahrscheinlich,6,11.0,5.0,83.33
endigen,1,10.0,9.0,900.0
viele,4,8.0,4.0,100.0
meilen,3,12.0,9.0,300.0
gefallen,9,15.0,6.0,66.67
sagte,361,368.0,7.0,1.94
laut,18,22.0,4.0,22.22
muß,27,35.0,8.0,29.63
ungefähr,14,17.0,3.0,21.43
mittelpunkt,1,6.0,5.0,500.0
erde,4,14.0,10.0,250.0
laß,13,17.0,4.0,30.77
wären,2,13.0,11.0,550.0
achthundert,1,3.0,2.0,200.0
funfzig,1,6.0,5.0,500.0
glaube,20,23.0,3.0,15.0
müßt,3,9.0,6.0,200.0
dergleichen,4,14.0,10.0,250.0
schule,7,14.0,7.0,100.0
gelernt,2,11.0,9.0,450.0
obgleich,9,15.0,6.0,66.67
gute,7,11.0,4.0,57.14
gelegenheit,8,18.0,10.0,125.0
kenntnisse,2,2.0,0.0,0.0
zeigen,5,5.0,0.0,0.0
niemand,11,20.0,9.0,81.82
zuhören,2,5.0,3.0,150.0
übte,1,7.0,6.0,600.0
dabei,23,28.0,5.0,21.74
ja,47,53.0,6.0,12.77
entfernung,6,11.0,5.0,83.33
länge,1,4.0,3.0,300.0
breitegrade,1,6.0,5.0,500.0
gekommen,8,15.0,7.0,87.5
mag,12,14.0,2.0,16.67
geringsten,4,10.0,6.0,150.0
begriff,3,8.0,5.0,166.67
längegrad,1,4.0,3.0,300.0
breitegrad,1,5.0,4.0,400.0
klangen,1,13.0,12.0,1200.0
worte,15,22.0,7.0,46.67
großartig,1,5.0,4.0,400.0
nett,4,7.0,3.0,75.0
bald,20,25.0,5.0,25.0
komisch,9,14.0,5.0,55.56
leuten,2,6.0,4.0,200.0
heraus,7,12.0,5.0,71.43
kopfe,7,10.0,3.0,42.86
gehen,23,29.0,6.0,26.09
antipathien,1,2.0,1.0,100.0
diesmal,10,14.0,4.0,40.0
lieb,3,10.0,7.0,233.33
zuhörte,4,11.0,7.0,175.0
wort,10,11.0,1.0,10.0
klang,4,13.0,9.0,225.0
gar,37,45.0,8.0,21.62
recht,22,26.0,4.0,18.18
fragen,9,15.0,6.0,66.67
müssen,12,16.0,4.0,33.33
land,4,11.0,7.0,175.0
heißt,4,5.0,1.0,25.0
bitte,15,21.0,6.0,40.0
liebe,14,17.0,3.0,21.43
dame,2,5.0,3.0,150.0
neu,1,9.0,8.0,800.0
seeland,1,1.0,0.0,0.0
australien,1,7.0,6.0,600.0
knixen,2,3.0,1.0,50.0
denkt,2,14.0,12.0,600.0
luft,10,15.0,5.0,50.0
fällt,2,11.0,9.0,450.0
könntet,2,2.0,0.0,0.0
fertig,9,21.0,12.0,133.33
kriegen,1,13.0,12.0,1200.0
unwissendes,1,4.0,3.0,300.0
kleines,12,18.0,6.0,50.0
mädchen,7,10.0,3.0,42.86
halten,4,9.0,5.0,125.0
frage,20,24.0,4.0,20.0
nein,30,37.0,7.0,23.33
geht,15,19.0,4.0,26.67
vielleicht,18,26.0,8.0,44.44
sehe,6,12.0,6.0,100.0
irgendwo,3,6.0,3.0,100.0
angeschrieben,1,2.0,1.0,100.0
sprechen,9,11.0,2.0,22.22
dinah,15,23.0,8.0,53.33
gewiß,11,15.0,4.0,36.36
heut,4,9.0,5.0,125.0
abend,1,5.0,4.0,400.0
suchen,7,9.0,2.0,28.57
katze,31,34.0,3.0,9.68
hoffe,3,15.0,12.0,400.0
napf,1,5.0,4.0,400.0
milch,1,4.0,3.0,300.0
theestunde,2,8.0,6.0,300.0
vergessen,10,25.0,15.0,150.0
mies,2,12.0,10.0,500.0
wärest,4,8.0,4.0,100.0
unten,9,17.0,8.0,88.89
bange,2,9.0,7.0,350.0
giebt,3,8.0,5.0,166.67
mäuse,1,5.0,4.0,400.0
könntest,6,9.0,3.0,50.0
spatzen,6,10.0,4.0,66.67
fangen,3,8.0,5.0,166.67
geben,8,15.0,7.0,87.5
glaubst,2,10.0,8.0,400.0
katzen,13,15.0,2.0,15.38
fressen,5,17.0,12.0,240.0
wurde,24,42.0,18.0,75.0
redete,4,8.0,4.0,100.0
halb,20,23.0,3.0,15.0
traum,6,10.0,4.0,66.67
fort,58,60.0,2.0,3.45
gern,31,38.0,7.0,22.58
antworten,5,16.0,11.0,220.0
brauchte,3,4.0,1.0,33.33
darauf,32,36.0,4.0,12.5
stellte,7,20.0,13.0,185.71
einschlief,1,10.0,9.0,900.0
