Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,75.0,63.0,525.0
conigliera,4,14.0,10.0,250.0
alice,400,425.0,25.0,6.25
cominciava,5,13.0,8.0,160.0
sentirsi,2,9.0,7.0,350.0
mortalmente,2,14.0,12.0,600.0
stanca,4,62.0,58.0,1450.0
sedere,2,7.0,5.0,250.0
poggio,2,11.0,9.0,450.0
accanto,1,41.0,40.0,4000.0
sorella,7,29.0,22.0,314.29
far,18,24.0,6.0,33.33
nulla,19,56.0,37.0,194.74
due,39,48.0,9.0,23.08
volte,11,25.0,14.0,127.27
gittato,1,11.0,10.0,1000.0
sguardo,2,8.0,6.0,300.0
libro,6,32.0,26.0,433.33
leggeva,3,14.0,11.0,366.67
imagini,2,27.0,25.0,1250.0
nè,9,99.0,90.0,1000.0
dialoghi,2,32.0,30.0,1500.0
serve,2,47.0,45.0,2250.0
pensò,53,68.0,15.0,28.3
andava,11,19.0,8.0,72.73
fantasticando,1,23.0,22.0,2200.0
cervello,4,14.0,10.0,250.0
meglio,21,39.0,18.0,85.71
poteva,14,24.0,10.0,71.43
perchè,91,105.0,14.0,15.38
stellone,1,25.0,24.0,2400.0
avea,46,55.0,9.0,19.57
resa,2,16.0,14.0,700.0
sonnacchiosa,2,39.0,37.0,1850.0
grullina,1,16.0,15.0,1500.0
piacere,4,12.0,8.0,200.0
ghirlanda,1,8.0,7.0,700.0
margherite,1,4.0,3.0,300.0
valesse,1,16.0,15.0,1500.0
noja,2,16.0,14.0,700.0
levarsi,2,5.0,3.0,150.0
cogliere,1,44.0,43.0,4300.0
fiori,5,41.0,36.0,720.0
quand,2,13.0,11.0,550.0
coniglio,49,56.0,7.0,14.29
bianco,20,24.0,4.0,20.0
occhi,31,42.0,11.0,35.48
rubino,1,29.0,28.0,2800.0
passò,5,15.0,10.0,200.0
vicino,16,38.0,22.0,137.5
davvero,30,43.0,13.0,43.33
troppo,18,30.0,12.0,66.67
meravigliarsi,1,20.0,19.0,1900.0
ciò,80,112.0,32.0,40.0
cosa,69,81.0,12.0,17.39
stravagante,1,14.0,13.0,1300.0
sentire,8,31.0,23.0,287.5
parlare,19,29.0,10.0,52.63
diceva,14,32.0,18.0,128.57
sè,50,109.0,59.0,118.0
oimè,9,91.0,82.0,911.11
oimèi,1,16.0,15.0,1500.0
fatto,17,26.0,9.0,52.94
tardi,7,17.0,10.0,142.86
quando,73,99.0,26.0,35.62
rammentò,6,14.0,8.0,133.33
seguito,3,33.0,30.0,1000.0
accorse,9,29.0,20.0,222.22
dovuto,3,18.0,15.0,500.0
meravigliarsene,1,9.0,8.0,800.0
sembrò,3,60.0,57.0,1900.0
assai,17,29.0,12.0,70.59
naturale,9,16.0,7.0,77.78
trasse,1,21.0,20.0,2000.0
oriuolo,8,23.0,15.0,187.5
taschino,3,12.0,9.0,300.0
panciotto,2,13.0,11.0,550.0
affisò,2,32.0,30.0,1500.0
scappò,3,40.0,37.0,1233.33
via,50,66.0,16.0,32.0
saltò,4,29.0,25.0,625.0
piedi,25,43.0,18.0,72.0
venuto,2,18.0,16.0,800.0
mente,4,18.0,14.0,350.0
ch,51,60.0,9.0,17.65
ella,53,67.0,14.0,26.42
mai,62,72.0,10.0,16.13
veduto,9,23.0,14.0,155.56
rispettivo,1,21.0,20.0,2000.0
starvici,1,16.0,15.0,1500.0
divorata,2,16.0,14.0,700.0
curiosità,7,19.0,12.0,171.43
traversò,2,7.0,5.0,250.0
campo,3,9.0,6.0,200.0
correndogli,2,22.0,20.0,1000.0
appresso,3,18.0,15.0,500.0
giunse,7,14.0,7.0,100.0
proprio,24,55.0,31.0,129.17
tempo,36,51.0,15.0,41.67
vederlo,1,9.0,8.0,800.0
slanciarsi,1,26.0,25.0,2500.0
spaziosa,3,32.0,29.0,966.67
siepe,2,16.0,14.0,700.0
istante,20,36.0,16.0,80.0
scivolò,1,47.0,46.0,4600.0
punto,21,35.0,14.0,66.67
riflettere,4,42.0,38.0,950.0
riuscirne,2,109.0,107.0,5350.0
fuori,21,44.0,23.0,109.52
buca,3,18.0,15.0,500.0
sfilava,2,21.0,19.0,950.0
diritto,2,19.0,17.0,850.0
galleria,1,28.0,27.0,2700.0
tunnel,1,19.0,18.0,1800.0
poi,57,68.0,11.0,19.3
inabissava,1,33.0,32.0,3200.0
tanto,50,56.0,6.0,12.0
rapidamente,3,17.0,14.0,466.67
solo,3,18.0,15.0,500.0
considerare,1,14.0,13.0,1300.0
potuto,8,32.0,24.0,300.0
fermarsi,2,112.0,110.0,5500.0
poichè,13,21.0,8.0,61.54
sentiva,6,16.0,10.0,166.67
cader,1,9.0,8.0,800.0
rotoloni,1,14.0,13.0,1300.0
qualche,50,67.0,17.0,34.0
precipizio,2,39.0,37.0,1850.0
rassomigliava,4,12.0,8.0,200.0
pozzo,9,26.0,17.0,188.89
profondissimo,1,8.0,7.0,700.0
arci,1,12.0,11.0,1100.0
profondo,3,9.0,6.0,200.0
ruzzolava,1,14.0,13.0,1300.0
adagino,2,10.0,8.0,400.0
mentre,45,78.0,33.0,73.33
cadeva,1,16.0,15.0,1500.0
guardare,8,40.0,32.0,400.0
intorno,21,55.0,34.0,161.9
stupiva,1,14.0,13.0,1300.0
pensando,7,46.0,39.0,557.14
avverrebbe,3,24.0,21.0,700.0
prima,39,57.0,18.0,46.15
aguzzò,1,7.0,6.0,600.0
vista,6,10.0,4.0,66.67
cercò,10,38.0,28.0,280.0
vedere,22,75.0,53.0,240.91
fondo,7,425.0,418.0,5971.43
scoprire,2,12.0,10.0,500.0
accaderebbe,1,12.0,11.0,1100.0
bujo,2,15.0,13.0,650.0
affatto,11,19.0,8.0,72.73
vedea,3,13.0,10.0,333.33
indi,3,34.0,31.0,1033.33
guardò,19,34.0,15.0,78.95
pareti,1,26.0,25.0,2500.0
osservò,27,46.0,19.0,70.37
ricoperte,1,16.0,15.0,1500.0
credenze,1,21.0,20.0,2000.0
scaffali,1,6.0,5.0,500.0
libri,3,44.0,41.0,1366.67
quà,13,72.0,59.0,453.85
là,18,72.0,54.0,300.0
vide,18,35.0,17.0,94.44
mappe,1,18.0,17.0,1700.0
quadri,1,11.0,10.0,1000.0
pendeano,1,25.0,24.0,2400.0
chiodi,1,13.0,12.0,1200.0
andando,3,7.0,4.0,133.33
prese,9,35.0,26.0,288.89
volo,1,19.0,18.0,1800.0
vasettino,2,18.0,16.0,800.0
cartello,4,10.0,6.0,150.0
lesse,3,12.0,9.0,300.0
