Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapter,12,16.0,4.0,33.33
rabbit,51,54.0,3.0,5.88
hole,5,15.0,10.0,200.0
alice,397,408.0,11.0,2.77
beginning,14,16.0,2.0,14.29
get,46,58.0,12.0,26.09
tired,7,12.0,5.0,71.43
sitting,10,19.0,9.0,90.0
sister,9,21.0,12.0,133.33
bank,3,20.0,17.0,566.67
nothing,34,40.0,6.0,17.65
twice,5,5.0,0.0,0.0
peeped,3,7.0,4.0,133.33
book,11,16.0,5.0,45.45
reading,3,12.0,9.0,300.0
pictures,4,27.0,23.0,575.0
conversations,2,18.0,16.0,800.0
use,18,18.0,0.0,0.0
thought,74,74.0,0.0,0.0
without,26,41.0,15.0,57.69
considering,3,16.0,13.0,433.33
mind,11,14.0,3.0,27.27
well,63,80.0,17.0,26.98
hot,7,41.0,34.0,485.71
day,29,41.0,12.0,41.38
made,30,37.0,7.0,23.33
feel,8,10.0,2.0,25.0
sleepy,5,14.0,9.0,180.0
stupid,6,22.0,16.0,266.67
whether,11,18.0,7.0,63.64
pleasure,2,5.0,3.0,150.0
making,8,10.0,2.0,25.0
daisy,1,12.0,11.0,1100.0
chain,1,16.0,15.0,1500.0
worth,4,6.0,2.0,50.0
trouble,6,9.0,3.0,50.0
getting,22,49.0,27.0,122.73
picking,2,34.0,32.0,1600.0
daisies,1,13.0,12.0,1200.0
suddenly,13,16.0,3.0,23.08
white,30,43.0,13.0,43.33
pink,1,10.0,9.0,900.0
eyes,29,30.0,1.0,3.45
ran,16,19.0,3.0,18.75
close,13,17.0,4.0,30.77
remarkable,2,3.0,1.0,50.0
think,53,59.0,6.0,11.32
much,51,72.0,21.0,41.18
way,56,65.0,9.0,16.07
hear,14,17.0,3.0,21.43
say,51,71.0,20.0,39.22
oh,45,60.0,15.0,33.33
dear,29,34.0,5.0,17.24
shall,25,32.0,7.0,28.0
late,6,38.0,32.0,533.33
afterwards,2,6.0,4.0,200.0
occurred,2,5.0,3.0,150.0
wondered,1,7.0,6.0,600.0
time,71,88.0,17.0,23.94
seemed,27,35.0,8.0,29.63
quite,55,65.0,10.0,18.18
natural,4,21.0,17.0,425.0
actually,1,4.0,3.0,300.0
took,24,40.0,16.0,66.67
watch,8,18.0,10.0,125.0
waistcoat,2,10.0,8.0,400.0
pocket,7,17.0,10.0,142.86
looked,45,54.0,9.0,20.0
hurried,11,18.0,7.0,63.64
started,2,7.0,5.0,250.0
feet,19,22.0,3.0,15.79
flashed,1,32.0,31.0,3100.0
across,5,22.0,17.0,340.0
never,48,58.0,10.0,20.83
seen,15,16.0,1.0,6.67
either,10,24.0,14.0,140.0
take,22,31.0,9.0,40.91
burning,1,5.0,4.0,400.0
curiosity,5,5.0,0.0,0.0
field,1,30.0,29.0,2900.0
fortunately,1,7.0,6.0,600.0
just,52,58.0,6.0,11.54
see,67,71.0,4.0,5.97
pop,1,3.0,2.0,200.0
large,33,51.0,18.0,54.55
hedge,2,9.0,7.0,350.0
another,22,38.0,16.0,72.73
moment,31,33.0,2.0,6.45
went,83,88.0,5.0,6.02
world,7,8.0,1.0,14.29
straight,2,13.0,11.0,550.0
like,85,94.0,9.0,10.59
tunnel,1,10.0,9.0,900.0
dipped,2,51.0,49.0,2450.0
stopping,1,3.0,2.0,200.0
found,32,34.0,2.0,6.25
falling,2,22.0,20.0,1000.0
deep,7,12.0,5.0,71.43
fell,6,31.0,25.0,416.67
slowly,8,27.0,19.0,237.5
plenty,2,7.0,5.0,250.0
look,29,32.0,3.0,10.34
wonder,18,37.0,19.0,105.56
going,27,34.0,7.0,25.93
happen,8,40.0,32.0,400.0
next,30,38.0,8.0,26.67
first,51,52.0,1.0,1.96
tried,19,22.0,3.0,15.79
make,27,32.0,5.0,18.52
coming,9,12.0,3.0,33.33
dark,3,6.0,3.0,100.0
anything,20,25.0,5.0,25.0
sides,4,16.0,12.0,300.0
noticed,8,51.0,43.0,537.5
filled,3,20.0,17.0,566.67
cupboards,2,15.0,13.0,650.0
shelves,2,19.0,17.0,850.0
saw,14,20.0,6.0,42.86
maps,1,11.0,10.0,1000.0
hung,1,7.0,6.0,600.0
upon,26,31.0,5.0,19.23
pegs,1,23.0,22.0,2200.0
jar,2,11.0,9.0,450.0
one,104,108.0,4.0,3.85
passed,5,8.0,3.0,60.0
labelled,1,4.0,3.0,300.0
orange,1,1.0,0.0,0.0
marmalade,1,2.0,1.0,100.0
great,39,42.0,3.0,7.69
disappointment,1,5.0,4.0,400.0
empty,1,10.0,9.0,900.0
drop,1,80.0,79.0,7900.0
fear,4,15.0,11.0,275.0
killing,1,3.0,2.0,200.0
somebody,7,46.0,39.0,557.14
managed,4,5.0,1.0,25.0
put,31,80.0,49.0,158.06
past,3,17.0,14.0,466.67
fall,7,31.0,24.0,342.86
tumbling,2,4.0,2.0,100.0
stairs,3,6.0,3.0,100.0
brave,1,12.0,11.0,1100.0
ll,57,64.0,7.0,12.28
home,5,8.0,3.0,60.0
wouldn,13,42.0,29.0,223.08
