Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapitre,12,14.0,2.0,16.67
premier,8,13.0,5.0,62.5
fond,8,8.0,0.0,0.0
terrier,4,5.0,1.0,25.0
alice,395,401.0,6.0,1.52
assise,6,15.0,9.0,150.0
auprès,8,11.0,3.0,37.5
sœur,10,10.0,0.0,0.0
gazon,3,6.0,3.0,100.0
commençait,7,12.0,5.0,71.43
ennuyer,1,9.0,8.0,800.0
rester,7,10.0,3.0,42.86
rien,54,56.0,2.0,3.7
jeté,1,4.0,3.0,300.0
yeux,41,42.0,1.0,2.44
livre,6,10.0,4.0,66.67
lisait,2,7.0,5.0,250.0
quoi,25,28.0,3.0,12.0
images,3,6.0,3.0,100.0
dialogues,2,2.0,0.0,0.0
belle,9,13.0,4.0,44.44
avance,2,9.0,7.0,350.0
pensait,10,11.0,1.0,10.0
causeries,1,3.0,2.0,200.0
mise,2,4.0,2.0,100.0
réfléchir,4,9.0,5.0,125.0
tant,14,15.0,1.0,7.14
bien,219,224.0,5.0,2.28
mal,14,20.0,6.0,42.86
chaleur,1,8.0,7.0,700.0
jour,15,18.0,3.0,20.0
endormait,1,6.0,5.0,500.0
rendait,1,5.0,4.0,400.0
lourde,1,4.0,3.0,300.0
demandant,3,7.0,4.0,133.33
plaisir,6,8.0,2.0,33.33
couronne,4,11.0,7.0,175.0
marguerites,1,7.0,6.0,600.0
valait,1,9.0,8.0,800.0
peine,20,23.0,3.0,15.0
lever,4,9.0,5.0,125.0
cueillir,1,6.0,5.0,500.0
fleurs,6,12.0,6.0,100.0
coup,19,28.0,9.0,47.37
lapin,51,54.0,3.0,5.88
blanc,23,24.0,1.0,4.35
roses,4,6.0,2.0,50.0
passa,7,12.0,5.0,71.43
près,33,39.0,6.0,18.18
étonnant,1,5.0,4.0,400.0
trouva,27,34.0,7.0,25.93
extraordinaire,4,6.0,2.0,50.0
entendre,14,15.0,1.0,7.14
parler,23,27.0,4.0,17.39
disait,13,20.0,7.0,53.85
ah,15,22.0,7.0,46.67
arriverai,2,4.0,2.0,100.0
tard,7,19.0,12.0,171.43
songeant,1,4.0,3.0,300.0
après,29,34.0,5.0,17.24
sembla,2,6.0,4.0,200.0
dû,3,8.0,5.0,166.67
étonner,2,8.0,6.0,300.0
moment,18,21.0,3.0,16.67
paru,2,4.0,2.0,100.0
naturel,3,7.0,4.0,133.33
cependant,14,17.0,3.0,21.43
vint,5,6.0,1.0,20.0
tirer,5,11.0,6.0,120.0
montre,6,7.0,1.0,16.67
gousset,2,4.0,2.0,100.0
regarda,15,17.0,2.0,13.33
puis,51,60.0,9.0,17.65
prit,19,23.0,4.0,21.05
courir,9,11.0,2.0,22.22
plus,98,99.0,1.0,1.02
sauta,2,6.0,4.0,200.0
pieds,26,29.0,3.0,11.54
frappée,2,7.0,5.0,250.0
idée,17,22.0,5.0,29.41
jamais,45,48.0,3.0,6.67
entraînée,1,3.0,2.0,200.0
curiosité,5,9.0,4.0,80.0
élança,1,4.0,3.0,300.0
traces,1,5.0,4.0,400.0
travers,8,10.0,2.0,25.0
champ,2,4.0,2.0,100.0
arriva,5,8.0,3.0,60.0
temps,50,58.0,8.0,16.0
voir,33,42.0,9.0,27.27
disparaître,4,14.0,10.0,250.0
large,5,12.0,7.0,140.0
trou,5,14.0,9.0,180.0
pied,11,19.0,8.0,72.73
haie,2,8.0,6.0,300.0
instant,19,21.0,2.0,10.53
poursuite,3,7.0,4.0,133.33
songer,2,4.0,2.0,100.0
sortirait,2,3.0,1.0,50.0
pendant,18,22.0,4.0,22.22
bout,19,21.0,2.0,10.53
chemin,11,17.0,6.0,54.55
allait,19,26.0,7.0,36.84
droit,8,13.0,5.0,62.5
tunnel,1,6.0,5.0,500.0
plongeait,1,3.0,2.0,200.0
perpendiculairement,1,3.0,2.0,200.0
façon,7,8.0,1.0,14.29
brusque,3,6.0,3.0,100.0
sentit,5,6.0,1.0,20.0
tomber,6,11.0,5.0,83.33
puits,9,11.0,2.0,22.22
grande,28,34.0,6.0,21.43
profondeur,2,2.0,0.0,0.0
pensé,1,3.0,2.0,200.0
