Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,4.0,3.0,300.0
kapitel,12,14.0,2.0,16.67
hinunter,14,20.0,6.0,42.86
kaninchenbau,3,5.0,2.0,66.67
alice,388,392.0,4.0,1.03
fing,47,49.0,2.0,4.26
langweilen,1,3.0,2.0,200.0
saß,14,22.0,8.0,57.14
schon,24,33.0,9.0,37.5
lange,19,21.0,2.0,10.53
schwester,10,15.0,5.0,50.0
ufer,5,15.0,10.0,200.0
thun,24,28.0,4.0,16.67
buch,3,15.0,12.0,400.0
las,3,5.0,2.0,66.67
gefiel,4,8.0,4.0,100.0
weder,4,9.0,5.0,125.0
bilder,3,10.0,7.0,233.33
gespräche,2,8.0,6.0,300.0
darin,12,19.0,7.0,58.33
nützen,3,7.0,4.0,133.33
bücher,1,6.0,5.0,500.0
dachte,65,67.0,2.0,3.08
überlegte,5,11.0,6.0,120.0
eben,31,34.0,3.0,9.68
gut,31,37.0,6.0,19.35
ging,26,37.0,11.0,42.31
schläfrig,3,8.0,5.0,166.67
dumm,4,11.0,7.0,175.0
hitze,1,3.0,2.0,200.0
mühe,8,11.0,3.0,37.5
werth,5,7.0,2.0,40.0
sei,35,40.0,5.0,14.29
aufzustehen,1,3.0,2.0,200.0
gänseblümchen,1,5.0,4.0,400.0
pflücken,1,3.0,2.0,200.0
kette,1,3.0,2.0,200.0
plötzlich,12,15.0,3.0,25.0
weißes,1,4.0,3.0,300.0
kaninchen,44,51.0,7.0,15.91
rothen,3,5.0,2.0,66.67
augen,25,26.0,1.0,4.0
dicht,13,19.0,6.0,46.15
vorbeirannte,1,4.0,3.0,300.0
grade,1,14.0,13.0,1300.0
merkwürdig,3,8.0,5.0,166.67
fand,22,26.0,4.0,18.18
außerordentlich,1,6.0,5.0,500.0
sagen,33,38.0,5.0,15.15
hörte,25,30.0,5.0,20.0
weh,9,11.0,2.0,22.22
spät,5,11.0,6.0,120.0
kommen,21,27.0,6.0,28.57
später,1,5.0,4.0,400.0
fiel,12,14.0,2.0,16.67
darüber,8,14.0,6.0,75.0
hätte,20,24.0,4.0,20.0
wundern,4,10.0,6.0,150.0
sollen,8,16.0,8.0,100.0
zeit,36,43.0,7.0,19.44
