Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapter,12,123.0,111.0,9.25
rabbit,51,178.0,127.0,2.49
hole,5,216.0,211.0,42.2
alice,397,473.0,76.0,0.191
beginning,14,57.0,43.0,3.071
get,46,84.0,38.0,0.826
tired,7,135.0,128.0,18.286
sitting,10,213.0,203.0,20.3
sister,9,71.0,62.0,6.889
bank,3,134.0,131.0,43.667
nothing,34,81.0,47.0,1.382
twice,5,199.0,194.0,38.8
peeped,3,100.0,97.0,32.333
book,11,100.0,89.0,8.091
reading,3,109.0,106.0,35.333
pictures,4,199.0,195.0,48.75
conversations,2,213.0,211.0,105.5
use,18,81.0,63.0,3.5
thought,74,236.0,162.0,2.189
without,26,162.0,136.0,5.231
considering,3,236.0,233.0,77.667
mind,11,129.0,118.0,10.727
well,63,236.0,173.0,2.746
hot,7,88.0,81.0,11.571
day,29,161.0,132.0,4.552
made,30,124.0,94.0,3.133
feel,8,143.0,135.0,16.875
sleepy,5,134.0,129.0,25.8
stupid,6,89.0,83.0,13.833
whether,11,162.0,151.0,13.727
pleasure,2,84.0,82.0,41.0
making,8,174.0,166.0,20.75
daisy,1,78.0,77.0,77.0
chain,1,88.0,87.0,87.0
worth,4,79.0,75.0,18.75
trouble,6,216.0,210.0,35.0
getting,22,130.0,108.0,4.909
picking,2,68.0,66.0,33.0
daisies,1,143.0,142.0,142.0
suddenly,13,216.0,203.0,15.615
white,30,134.0,104.0,3.467
pink,1,48.0,47.0,47.0
eyes,29,120.0,91.0,3.138
ran,16,259.0,243.0,15.188
close,13,108.0,95.0,7.308
remarkable,2,162.0,160.0,80.0
think,53,132.0,79.0,1.491
much,51,218.0,167.0,3.275
way,56,150.0,94.0,1.679
hear,14,178.0,164.0,11.714
say,51,213.0,162.0,3.176
oh,45,222.0,177.0,3.933
dear,29,222.0,193.0,6.655
shall,25,69.0,44.0,1.76
late,6,100.0,94.0,15.667
afterwards,2,93.0,91.0,45.5
occurred,2,109.0,107.0,53.5
wondered,1,100.0,99.0,99.0
time,71,259.0,188.0,2.648
seemed,27,61.0,34.0,1.259
quite,55,153.0,98.0,1.782
natural,4,216.0,212.0,53.0
actually,1,84.0,83.0,83.0
took,24,625.0,601.0,25.042
watch,8,88.0,80.0,10.0
waistcoat,2,207.0,205.0,102.5
pocket,7,130.0,123.0,17.571
looked,45,155.0,110.0,2.444
hurried,11,123.0,112.0,10.182
started,2,32.0,30.0,15.0
