Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,119.0,118.0,118.0
kapitel,12,95.0,83.0,6.917
hinunter,14,163.0,149.0,10.643
kaninchenbau,3,94.0,91.0,30.333
alice,388,527.0,139.0,0.358
fing,47,181.0,134.0,2.851
langweilen,1,130.0,129.0,129.0
saß,14,76.0,62.0,4.429
schon,24,155.0,131.0,5.458
lange,19,132.0,113.0,5.947
schwester,10,167.0,157.0,15.7
ufer,5,152.0,147.0,29.4
thun,24,189.0,165.0,6.875
buch,3,117.0,114.0,38.0
las,3,105.0,102.0,34.0
gefiel,4,44.0,40.0,10.0
weder,4,79.0,75.0,18.75
bilder,3,70.0,67.0,22.333
gespräche,2,128.0,126.0,63.0
darin,12,115.0,103.0,8.583
nützen,3,114.0,111.0,37.0
bücher,1,62.0,61.0,61.0
dachte,65,212.0,147.0,2.262
überlegte,5,197.0,192.0,38.4
eben,31,230.0,199.0,6.419
gut,31,102.0,71.0,2.29
ging,26,155.0,129.0,4.962
schläfrig,3,93.0,90.0,30.0
dumm,4,34.0,30.0,7.5
hitze,1,152.0,151.0,151.0
mühe,8,93.0,85.0,10.625
werth,5,90.0,85.0,17.0
sei,35,155.0,120.0,3.429
aufzustehen,1,163.0,162.0,162.0
gänseblümchen,1,95.0,94.0,94.0
pflücken,1,442.0,441.0,441.0
kette,1,157.0,156.0,156.0
plötzlich,12,82.0,70.0,5.833
weißes,1,89.0,88.0,88.0
kaninchen,44,230.0,186.0,4.227
rothen,3,220.0,217.0,72.333
augen,25,116.0,91.0,3.64
dicht,13,163.0,150.0,11.538
vorbeirannte,1,105.0,104.0,104.0
grade,1,76.0,75.0,75.0
merkwürdig,3,130.0,127.0,42.333
fand,22,115.0,93.0,4.227
außerordentlich,1,155.0,154.0,154.0
sagen,33,181.0,148.0,4.485
hörte,25,161.0,136.0,5.44
weh,9,181.0,172.0,19.111
spät,5,116.0,111.0,22.2
kommen,21,171.0,150.0,7.143
später,1,141.0,140.0,140.0
fiel,12,117.0,105.0,8.75
darüber,8,130.0,122.0,15.25
hätte,20,128.0,108.0,5.4
wundern,4,118.0,114.0,28.5
sollen,8,212.0,204.0,25.5
zeit,36,139.0,103.0,2.861
kam,39,129.0,90.0,2.308
ganz,82,220.0,138.0,1.683
natürlich,20,230.0,210.0,10.5
uhr,11,197.0,186.0,16.909
westentasche,2,107.0,105.0,52.5
zog,6,230.0,224.0,37.333
sah,47,141.0,94.0,2.0
eilig,9,76.0,67.0,7.444
fortlief,2,163.0,161.0,80.5
sprang,6,238.0,232.0,38.667
nie,25,114.0,89.0,3.56
vorgekommen,1,77.0,76.0,76.0
sehen,43,171.0,128.0,2.977
neugierde,3,86.0,83.0,27.667
brennend,1,87.0,86.0,86.0
rannte,9,123.0,114.0,12.667
grasplatz,1,152.0,151.0,151.0
rechten,9,163.0,154.0,17.111
großes,4,148.0,144.0,36.0
loch,2,177.0,175.0,87.5
hecke,2,87.0,85.0,42.5
schlüpfen,1,212.0,211.0,211.0
nächsten,15,161.0,146.0,9.733
augenblick,23,144.0,121.0,5.261
