Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
capitolo,12,116.0,104.0,8.667
conigliera,4,104.0,100.0,25.0
alice,400,645.0,245.0,0.613
cominciava,5,126.0,121.0,24.2
sentirsi,2,112.0,110.0,55.0
mortalmente,2,101.0,99.0,49.5
stanca,4,175.0,171.0,42.75
sedere,2,225.0,223.0,111.5
poggio,2,88.0,86.0,43.0
accanto,1,130.0,129.0,129.0
sorella,7,182.0,175.0,25.0
far,18,137.0,119.0,6.611
nulla,19,145.0,126.0,6.632
due,39,175.0,136.0,3.487
volte,11,101.0,90.0,8.182
gittato,1,106.0,105.0,105.0
sguardo,2,98.0,96.0,48.0
libro,6,139.0,133.0,22.167
leggeva,3,84.0,81.0,27.0
imagini,2,85.0,83.0,41.5
nè,9,141.0,132.0,14.667
dialoghi,2,187.0,185.0,92.5
serve,2,67.0,65.0,32.5
pensò,53,183.0,130.0,2.453
andava,11,109.0,98.0,8.909
fantasticando,1,98.0,97.0,97.0
cervello,4,120.0,116.0,29.0
meglio,21,211.0,190.0,9.048
poteva,14,175.0,161.0,11.5
perchè,91,459.0,368.0,4.044
stellone,1,91.0,90.0,90.0
avea,46,187.0,141.0,3.065
resa,2,145.0,143.0,71.5
sonnacchiosa,2,182.0,180.0,90.0
grullina,1,145.0,144.0,144.0
piacere,4,139.0,135.0,33.75
ghirlanda,1,211.0,210.0,210.0
margherite,1,175.0,174.0,174.0
valesse,1,121.0,120.0,120.0
noja,2,112.0,110.0,55.0
levarsi,2,108.0,106.0,53.0
cogliere,1,88.0,87.0,87.0
fiori,5,121.0,116.0,23.2
quand,2,175.0,173.0,86.5
coniglio,49,165.0,116.0,2.367
bianco,20,87.0,67.0,3.35
occhi,31,136.0,105.0,3.387
rubino,1,68.0,67.0,67.0
passò,5,145.0,140.0,28.0
vicino,16,87.0,71.0,4.438
davvero,30,170.0,140.0,4.667
troppo,18,128.0,110.0,6.111
meravigliarsi,1,165.0,164.0,164.0
ciò,80,645.0,565.0,7.062
cosa,69,242.0,173.0,2.507
stravagante,1,85.0,84.0,84.0
sentire,8,225.0,217.0,27.125
parlare,19,112.0,93.0,4.895
diceva,14,105.0,91.0,6.5
sè,50,326.0,276.0,5.52
oimè,9,103.0,94.0,10.444
oimèi,1,171.0,170.0,170.0
fatto,17,171.0,154.0,9.059
tardi,7,112.0,105.0,15.0
quando,73,170.0,97.0,1.329
rammentò,6,147.0,141.0,23.5
seguito,3,179.0,176.0,58.667
