Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
hoofdstuk,37,321.0,284.0,7.676
tom,695,969.0,274.0,0.394
antwoord,20,415.0,395.0,19.75
waar,126,520.0,394.0,3.127
drommelsche,1,344.0,343.0,343.0
jongen,98,429.0,331.0,3.378
zitten,42,294.0,252.0,6.0
hoor,13,230.0,217.0,16.692
oude,58,298.0,240.0,4.138
dame,16,278.0,262.0,16.375
woorden,39,409.0,370.0,9.487
sprak,20,342.0,322.0,16.1
trok,13,415.0,402.0,30.923
bril,5,356.0,351.0,70.2
beneden,21,456.0,435.0,20.714
overheen,1,568.0,567.0,567.0
kijken,35,380.0,345.0,9.857
daarna,45,292.0,247.0,5.489
duwde,5,487.0,482.0,96.4
boven,35,380.0,345.0,9.857
onderdoor,1,415.0,414.0,414.0
zelden,5,302.0,297.0,59.4
nooit,115,828.0,713.0,6.2
gebruikte,3,487.0,484.0,161.333
althans,4,440.0,436.0,109.0
zoo,301,632.0,331.0,1.1
onbeduidend,1,269.0,268.0,268.0
voorwerp,8,266.0,258.0,32.25
kleine,42,308.0,266.0,6.333
immers,30,302.0,272.0,9.067
roem,6,524.0,518.0,86.333
trots,5,227.0,222.0,44.4
hart,72,409.0,337.0,4.681
gekocht,3,496.0,493.0,164.333
ontzag,3,402.0,399.0,133.0
boezemen,1,568.0,567.0,567.0
dienst,4,1093.0,1089.0,272.25
hare,78,500.0,422.0,5.41
oogen,67,491.0,424.0,6.328
evengoed,1,456.0,455.0,455.0
deksel,2,333.0,331.0,165.5
sauspan,1,155.0,154.0,154.0
genomen,16,273.0,257.0,16.062
oogenblik,105,436.0,331.0,3.152
zag,71,415.0,344.0,4.845
onthutst,1,326.0,325.0,325.0
rond,28,495.0,467.0,16.679
zeide,229,568.0,339.0,1.48
bepaald,12,278.0,266.0,22.167
barsch,1,234.0,233.0,233.0
luid,9,415.0,406.0,45.111
genoeg,42,402.0,360.0,8.571
meubelen,1,336.0,335.0,335.0
kamer,24,308.0,284.0,11.833
gehoord,26,403.0,377.0,14.5
krijg,10,227.0,217.0,21.7
uitbrengen,1,290.0,289.0,289.0
pratende,4,271.0,267.0,66.75
voorovergebukt,1,234.0,233.0,233.0
bezem,1,524.0,523.0,523.0
bed,35,740.0,705.0,20.143
voelen,4,269.0,265.0,66.25
verscholen,1,270.0,269.0,269.0
hijgde,3,403.0,400.0,133.333
adem,29,495.0,466.0,16.069
lang,67,470.0,403.0,6.015
duwen,3,298.0,295.0,98.333
stompen,1,224.0,223.0,223.0
kat,27,423.0,396.0,14.667
voorschijn,9,290.0,281.0,31.222
haalde,19,338.0,319.0,16.789
leven,33,487.0,454.0,13.758
gezien,37,459.0,422.0,11.405
zullen,84,531.0,447.0,5.321
wij,187,535.0,348.0,1.861
buiten,34,342.0,308.0,9.059
ging,122,828.0,706.0,5.787
open,21,220.0,199.0,9.476
deur,57,288.0,231.0,4.053
staan,63,386.0,323.0,5.127
keek,35,349.0,314.0,8.971
den,819,1093.0,274.0,0.335
tuin,6,456.0,450.0,75.0
tusschen,27,266.0,239.0,8.852
tomato,1,261.0,260.0,260.0
boompjes,1,386.0,385.0,385.0
doorn,1,302.0,301.0,301.0
appelkruid,1,333.0,332.0,332.0
handen,31,308.0,277.0,8.935
spreektrompet,1,349.0,348.0,348.0
schreeuwde,3,309.0,306.0,102.0
wacht,21,415.0,394.0,18.762
hoort,9,496.0,487.0,54.111
plotseling,13,290.0,277.0,21.308
licht,29,318.0,289.0,9.966
gedruisch,1,234.0,233.0,233.0
achter,50,415.0,365.0,7.3
keert,2,500.0,498.0,249.0
juist,61,403.0,342.0,5.607
bijtijds,5,234.0,229.0,45.8
panden,3,402.0,399.0,133.0
buisje,7,459.0,452.0,64.571
vatten,5,302.0,297.0,59.4
ontkomen,4,456.0,452.0,113.0
beletten,4,280.0,276.0,69.0
wel,238,828.0,590.0,2.479
moeten,26,292.0,266.0,10.231
denken,22,432.0,410.0,18.636
provisiekast,1,326.0,325.0,325.0
zoudt,15,338.0,323.0,21.533
gedaan,67,353.0,286.0,4.269
tante,95,344.0,249.0,2.621
kijk,19,344.0,325.0,17.105
mond,23,294.0,271.0,11.783
waarom,51,342.0,291.0,5.706
kleven,2,309.0,307.0,153.5
weet,95,520.0,425.0,4.474
zit,12,230.0,218.0,18.167
gelei,2,271.0,269.0,134.5
honderdmaal,3,335.0,332.0,110.667
gezegd,27,309.0,282.0,10.444
broek,7,309.0,302.0,43.143
snoepte,1,273.0,272.0,272.0
geef,26,271.0,245.0,9.423
roede,8,273.0,265.0,33.125
lucht,23,380.0,357.0,15.522
gezwaaid,1,278.0,277.0,277.0
punt,12,335.0,323.0,26.917
on,71,353.0,282.0,3.972
neer,10,455.0,445.0,44.5
komen,84,459.0,375.0,4.464
uitriep,5,272.0,267.0,53.4
draaide,5,333.0,328.0,65.6
legde,21,316.0,295.0,14.048
partij,3,318.0,315.0,105.0
hemden,2,436.0,434.0,217.0
redden,6,436.0,430.0,71.667
haag,3,309.0,306.0,102.0
drogen,2,632.0,630.0,315.0
gehangen,3,318.0,315.0,105.0
ijver,3,298.0,295.0,98.333
parate,1,252.0,251.0,251.0
executie,1,828.0,827.0,827.0
houden,38,263.0,225.0,5.921
grond,52,453.0,401.0,7.712
gevallen,7,261.0,254.0,36.286
maakte,54,402.0,348.0,6.444
gelegenheid,16,309.0,293.0,18.312
gebruik,8,409.0,401.0,50.125
schutting,12,568.0,556.0,46.333
klauteren,1,456.0,455.0,455.0
ommezien,2,535.0,533.0,266.5
verdwenen,22,491.0,469.0,21.318
stond,75,365.0,290.0,3.867
beteuterd,1,261.0,260.0,260.0
barstte,9,333.0,324.0,36.0
lachen,12,222.0,210.0,17.5
duivelsche,2,222.0,220.0,110.0
wijzer,2,679.0,677.0,338.5
spreekwoord,1,365.0,364.0,364.0
gelijk,16,309.0,293.0,18.312
ouder,2,349.0,347.0,173.5
gekker,1,220.0,219.0,219.0
ouden,20,495.0,475.0,23.75
hond,18,309.0,291.0,16.167
nieuwe,28,455.0,427.0,15.25
kunsten,5,491.0,486.0,97.2
leeren,17,271.0,254.0,14.941
elken,12,969.0,957.0,79.75
dag,112,524.0,412.0,3.679
verzint,1,267.0,266.0,266.0
anders,41,333.0,292.0,7.122
allemaal,7,423.0,416.0,59.429
vooruit,15,318.0,303.0,20.2
weten,29,531.0,502.0,17.31
alsof,50,321.0,271.0,5.42
voelt,3,487.0,484.0,161.333
plagen,6,335.0,329.0,54.833
vóórdat,2,308.0,306.0,153.0
kwaad,9,507.0,498.0,55.333
word,4,356.0,352.0,88.0
eindelijk,81,383.0,302.0,3.728
boos,12,520.0,508.0,42.333
brengt,1,321.0,320.0,320.0
onderwerp,9,423.0,414.0,46.0
af,64,531.0,467.0,7.297
laat,71,487.0,416.0,5.859
voorbij,24,679.0,655.0,27.292
glijdt,2,269.0,267.0,133.5
vingers,9,263.0,254.0,28.222
weg,96,470.0,374.0,3.896
voordat,10,496.0,486.0,48.6
straffen,4,316.0,312.0,78.0
doe,34,261.0,227.0,6.676
plicht,3,307.0,304.0,101.333
dien,118,495.0,377.0,3.195
leef,4,1093.0,1089.0,272.25
staat,33,403.0,370.0,11.212
geschreven,7,344.0,337.0,48.143
spaart,1,349.0,348.0,348.0
bederft,2,387.0,385.0,192.5
kind,21,295.0,274.0,13.048
vergroot,1,524.0,523.0,523.0
beider,1,224.0,223.0,223.0
zonde,3,316.0,313.0,104.333
lijden,10,316.0,306.0,30.6
gansch,3,338.0,335.0,111.667
bedorven,2,230.0,228.0,114.0
helaas,9,459.0,450.0,50.0
arme,28,496.0,468.0,16.714
schaap,1,828.0,827.0,827.0
eigen,28,423.0,395.0,14.107
mijne,25,309.0,284.0,11.36
zuster,1,535.0,534.0,534.0
zaliger,1,294.0,293.0,293.0
verkrijgen,2,271.0,269.0,134.5
slaan,12,318.0,306.0,25.5
ieder,6,380.0,374.0,62.333
keer,18,828.0,810.0,45.0
straf,8,270.0,262.0,32.75
klaagt,1,266.0,265.0,265.0
geweten,12,230.0,218.0,18.167
slaag,9,261.0,252.0,28.0
breekt,2,308.0,306.0,153.0
galg,3,369.0,366.0,122.0
rad,1,280.0,279.0,279.0
opgroeien,1,272.0,271.0,271.0
middag,12,292.0,280.0,23.333
zeker,65,369.0,304.0,4.677
weer,56,453.0,397.0,7.089
gaan,102,383.0,281.0,2.755
strijken,2,524.0,522.0,261.0
morgen,29,269.0,240.0,8.276
laten,60,369.0,309.0,5.15
werken,17,507.0,490.0,28.824
vreeselijk,25,440.0,415.0,16.6
hard,15,403.0,388.0,25.867
zaterdag,13,335.0,322.0,24.769
arbeid,6,402.0,396.0,66.0
zetten,16,432.0,416.0,26.0
jongens,92,440.0,348.0,3.783
vacantie,10,237.0,227.0,22.7
ten,58,298.0,240.0,4.138
minste,20,294.0,274.0,13.7
bederf,1,321.0,320.0,320.0
bleef,53,342.0,289.0,5.453
school,49,679.0,630.0,12.857
prettigen,1,271.0,270.0,270.0
kwam,118,740.0,622.0,5.271
tijdig,1,288.0,287.0,287.0
tehuis,9,399.0,390.0,43.333
jim,18,333.0,315.0,17.5
zwarten,1,531.0,530.0,530.0
loopjongen,1,432.0,431.0,431.0
helpen,9,302.0,293.0,32.556
houtzagen,1,272.0,271.0,271.0
blokjes,1,263.0,262.0,262.0
