Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
chapter,37,253.0,216.0,5.838
tom,773,976.0,203.0,0.263
answer,12,337.0,325.0,27.083
gone,43,421.0,378.0,8.791
boy,133,303.0,170.0,1.278
wonder,7,274.0,267.0,38.143
old,97,490.0,393.0,4.052
lady,23,512.0,489.0,21.261
pulled,3,253.0,250.0,83.333
spectacles,3,496.0,493.0,164.333
looked,45,203.0,158.0,3.511
room,22,481.0,459.0,20.864
put,57,320.0,263.0,4.614
seldom,5,225.0,220.0,44.0
never,131,468.0,337.0,2.573
small,36,255.0,219.0,6.083
thing,72,654.0,582.0,8.083
state,9,602.0,593.0,65.889
pair,3,330.0,327.0,109.0
pride,8,444.0,436.0,54.5
heart,70,400.0,330.0,4.714
built,5,253.0,248.0,49.6
style,5,329.0,324.0,64.8
service,6,374.0,368.0,61.333
seen,27,225.0,198.0,7.333
stove,2,157.0,155.0,77.5
lids,1,433.0,432.0,432.0
just,146,387.0,241.0,1.651
well,175,438.0,263.0,1.503
perplexed,5,329.0,324.0,64.8
moment,68,310.0,242.0,3.559
said,356,771.0,415.0,1.166
fiercely,1,213.0,212.0,212.0
still,68,504.0,436.0,6.412
loud,2,661.0,659.0,329.5
enough,62,561.0,499.0,8.048
furniture,2,177.0,175.0,87.5
hear,37,400.0,363.0,9.811
lay,46,771.0,725.0,15.761
get,113,462.0,349.0,3.088
hold,18,191.0,173.0,9.611
ll,232,654.0,422.0,1.819
finish,3,332.0,329.0,109.667
time,189,510.0,321.0,1.698
bending,5,359.0,354.0,70.8
punching,1,308.0,307.0,307.0
bed,25,324.0,299.0,11.96
broom,1,433.0,432.0,432.0
needed,2,207.0,205.0,102.5
breath,25,771.0,746.0,29.84
punctuate,1,661.0,660.0,660.0
punches,1,316.0,315.0,315.0
resurrected,1,328.0,327.0,327.0
nothing,54,462.0,408.0,7.556
cat,23,661.0,638.0,27.739
see,139,510.0,371.0,2.669
beat,3,210.0,207.0,69.0
went,115,599.0,484.0,4.209
open,22,316.0,294.0,13.364
door,46,468.0,422.0,9.174
stood,53,468.0,415.0,7.83
among,17,504.0,487.0,28.647
tomato,1,440.0,439.0,439.0
vines,4,318.0,314.0,78.5
jimpson,1,239.0,238.0,238.0
weeds,5,654.0,649.0,129.8
constituted,1,303.0,302.0,302.0
garden,3,661.0,658.0,219.333
lifted,10,512.0,502.0,50.2
voice,31,512.0,481.0,15.516
angle,2,374.0,372.0,186.0
calculated,3,274.0,271.0,90.333
distance,18,275.0,257.0,14.278
shouted,11,438.0,427.0,38.818
slight,2,462.0,460.0,230.0
noise,6,364.0,358.0,59.667
behind,31,317.0,286.0,9.226
turned,51,976.0,925.0,18.137
seize,2,462.0,460.0,230.0
slack,1,504.0,503.0,503.0
roundabout,4,359.0,355.0,88.75
arrest,1,468.0,467.0,467.0
flight,2,251.0,249.0,124.5
might,65,504.0,439.0,6.754
thought,83,380.0,297.0,3.578
closet,6,316.0,310.0,51.667
look,60,397.0,337.0,5.617
hands,37,481.0,444.0,12.0
mouth,19,416.0,397.0,20.895
truck,1,481.0,480.0,480.0
don,224,549.0,325.0,1.451
know,131,553.0,422.0,3.221
aunt,83,416.0,333.0,4.012
jam,3,359.0,356.0,118.667
forty,7,181.0,174.0,24.857
times,25,310.0,285.0,11.4
ve,78,549.0,471.0,6.038
didn,50,290.0,240.0,4.8
let,94,481.0,387.0,4.117
alone,17,192.0,175.0,10.294
skin,5,553.0,548.0,109.6
hand,63,327.0,264.0,4.19
switch,2,312.0,310.0,155.0
hovered,2,289.0,287.0,143.5
air,30,181.0,151.0,5.033
peril,2,315.0,313.0,156.5
desperate,4,274.0,270.0,67.5
whirled,1,406.0,405.0,405.0
round,18,287.0,269.0,14.944
snatched,8,359.0,351.0,43.875
skirts,1,345.0,344.0,344.0
danger,7,296.0,289.0,41.286
lad,11,602.0,591.0,53.727
fled,4,339.0,335.0,83.75
instant,17,599.0,582.0,34.235
scrambled,1,253.0,252.0,252.0
high,24,332.0,308.0,12.833
board,11,239.0,228.0,20.727
fence,23,317.0,294.0,12.783
disappeared,10,406.0,396.0,39.6
polly,52,400.0,348.0,6.692
surprised,3,191.0,188.0,62.667
broke,22,490.0,468.0,21.273
gentle,3,976.0,973.0,324.333
laugh,7,303.0,296.0,42.286
hang,11,253.0,242.0,22.0
can,118,374.0,256.0,2.169
learn,13,239.0,226.0,17.385
anything,56,312.0,256.0,4.571
ain,122,661.0,539.0,4.418
played,7,397.0,390.0,55.714
tricks,4,157.0,153.0,38.25
like,127,308.0,181.0,1.425
looking,29,337.0,308.0,10.621
fools,4,329.0,325.0,81.25
biggest,2,253.0,251.0,125.5
dog,18,374.0,356.0,19.778
new,54,274.0,220.0,4.074
saying,16,400.0,384.0,24.0
goodness,6,181.0,175.0,29.167
plays,1,312.0,311.0,311.0
alike,5,359.0,354.0,70.8
two,116,426.0,310.0,2.672
days,30,310.0,280.0,9.333
body,37,462.0,425.0,11.486
coming,19,400.0,381.0,20.053
pears,2,320.0,318.0,159.0
long,107,318.0,211.0,1.972
torment,4,444.0,440.0,110.0
dander,1,149.0,148.0,148.0
knows,7,397.0,390.0,55.714
make,55,374.0,319.0,5.8
minute,21,192.0,171.0,8.143
