Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
ensimäinen,8,760.0,752.0,94.0
luku,38,271.0,233.0,6.132
tom,755,1151.0,396.0,0.525
vastausta,11,279.0,268.0,24.364
alkaapa,1,310.0,309.0,309.0
kummastuttaa,2,305.0,303.0,151.5
mihinkä,1,425.0,424.0,424.0
poika,72,535.0,463.0,6.431
katosi,15,575.0,560.0,37.333
kuuletko,2,456.0,454.0,227.0
vanha,46,331.0,285.0,6.196
rouva,39,399.0,360.0,9.231
vetäsi,4,1151.0,1147.0,286.75
silmälasinsa,1,512.0,511.0,511.0
alemmas,1,344.0,343.0,343.0
nokkavarrelle,1,402.0,401.0,401.0
katseli,22,311.0,289.0,13.136
niitten,9,402.0,393.0,43.667
ympäri,24,372.0,348.0,14.5
huonetta,6,426.0,420.0,70.0
sitte,17,425.0,408.0,24.0
nosti,18,760.0,742.0,41.222
otsallensa,1,1151.0,1150.0,1150.0
tirkisteli,2,760.0,758.0,379.0
alaitse,1,429.0,428.0,428.0
harvoin,5,403.0,398.0,79.6
tuskinpa,3,305.0,302.0,100.667
milloinkaan,24,362.0,338.0,14.083
vähäpätöistä,2,341.0,339.0,169.5
yhtä,55,425.0,370.0,6.727
poikaa,10,301.0,291.0,29.1
läpi,31,471.0,440.0,14.194
juhlalasinsa,1,341.0,340.0,340.0
ylpeytensä,5,338.0,333.0,66.6
piti,58,583.0,525.0,9.052
koristuksen,1,365.0,364.0,364.0
eikä,71,470.0,399.0,5.62
tarpeen,1,267.0,266.0,266.0
vuoksi,8,271.0,263.0,32.875
senpätähden,7,332.0,325.0,46.429
olikin,13,307.0,294.0,22.615
yhden,31,387.0,356.0,11.484
tekevä,1,305.0,304.0,304.0
tirkistellyt,1,408.0,407.0,407.0
reijistä,1,383.0,382.0,382.0
pesän,3,307.0,304.0,101.333
luukuissa,1,305.0,304.0,304.0
hetkisen,44,335.0,291.0,6.614
aikaa,46,760.0,714.0,15.522
näytti,52,310.0,258.0,4.962
olevan,59,392.0,333.0,5.644
hämillänsä,2,746.0,744.0,372.0
sanoi,309,746.0,437.0,1.414
jälkeen,37,482.0,445.0,12.027
kiivaalla,1,313.0,312.0,312.0
kumminkin,77,411.0,334.0,4.338
kovalla,6,311.0,305.0,50.833
äänellä,31,305.0,274.0,8.839
huonekalut,1,374.0,373.0,373.0
kuulivat,5,338.0,333.0,66.6
vannon,1,332.0,331.0,331.0
saan,5,362.0,357.0,71.4
käsiini,3,305.0,302.0,100.667
lopettanut,5,445.0,440.0,88.0
ajatustansa,3,271.0,268.0,89.333
ajalla,28,487.0,459.0,16.393
kuukistaunut,2,258.0,256.0,128.0
alas,30,429.0,399.0,13.3
kolisteli,1,305.0,304.0,304.0
luudan,1,365.0,364.0,364.0
varrella,1,350.0,349.0,349.0
sängyn,8,463.0,455.0,56.875
alusta,3,344.0,341.0,113.667
sieltäpä,1,307.0,306.0,306.0
tullut,48,334.0,286.0,5.958
esiin,49,478.0,429.0,8.755
muuta,51,363.0,312.0,6.118
kissa,16,471.0,455.0,28.438
karvaakan,1,372.0,371.0,371.0
näy,2,478.0,476.0,238.0
koko,127,552.0,425.0,3.346
pojasta,2,369.0,367.0,183.5
meni,55,365.0,310.0,5.636
ovelle,5,535.0,530.0,106.0
sattui,10,575.0,565.0,56.5
olemaan,13,445.0,432.0,33.231
auki,8,379.0,371.0,46.375
kartanolla,3,377.0,374.0,124.667
olevaa,3,495.0,492.0,164.0
omena,3,444.0,441.0,147.0
kirsimarja,1,445.0,444.0,444.0
pensaikkoa,1,344.0,343.0,343.0
ia,36,379.0,343.0,9.528
näkynyt,7,313.0,306.0,43.714
sielläkään,1,236.0,235.0,235.0
kohotti,3,279.0,276.0,92.0
äänensä,7,463.0,456.0,65.143
määrään,1,317.0,316.0,316.0
kuuluisi,1,309.0,308.0,308.0
etemmäksi,3,396.0,393.0,131.0
huusi,16,426.0,410.0,25.625
to,1,403.0,402.0,402.0
samalla,47,419.0,372.0,7.915
kuuli,12,288.0,276.0,23.0
takanansa,4,408.0,404.0,101.0
vähäisen,7,362.0,355.0,50.714
kolinan,2,487.0,485.0,242.5
ennätti,4,251.0,247.0,61.75
kääntäytyä,1,429.0,428.0,428.0
hyvissä,6,607.0,601.0,100.167
ajoin,3,398.0,395.0,131.667
sai,46,490.0,444.0,9.652
erään,32,459.0,427.0,13.344
pienen,29,445.0,416.0,14.345
pojan,28,607.0,579.0,20.679
takinhelmoista,1,522.0,521.0,521.0
kiinni,9,396.0,387.0,43.0
ahaa,3,402.0,399.0,133.0
tätäpä,1,335.0,334.0,334.0
piilopaikkaa,2,225.0,223.0,111.5
muistanutkaan,1,307.0,306.0,306.0
siellä,58,392.0,334.0,5.759
tehnyt,40,271.0,231.0,5.775
mitään,108,575.0,467.0,4.324
näyttää,12,411.0,399.0,33.25
kätesi,1,383.0,382.0,382.0
suuskin,1,317.0,316.0,316.0
poikamaisuutta,1,463.0,462.0,462.0
enpä,7,362.0,355.0,50.714
tiedä,31,393.0,362.0,11.677
tätini,2,552.0,550.0,275.0
hyvä,100,377.0,277.0,2.77
minäpä,3,341.0,338.0,112.667
tiedän,24,445.0,421.0,17.542
hillaa,1,575.0,574.0,574.0
kaksikymmentä,3,334.0,331.0,110.333
kertaa,42,445.0,403.0,9.595
sanonut,20,310.0,290.0,14.5
anna,17,429.0,412.0,24.235
hillan,1,301.0,300.0,300.0
rauhassa,8,279.0,271.0,33.875
tulen,20,301.0,281.0,14.05
opettaa,1,288.0,287.0,287.0
pysymään,1,331.0,330.0,330.0
aisoissasi,1,552.0,551.0,551.0
tänne,33,411.0,378.0,11.455
vapa,2,408.0,406.0,203.0
alkoi,162,463.0,301.0,1.858
vinkua,1,419.0,418.0,418.0
asema,1,429.0,428.0,428.0
ainoasti,6,365.0,359.0,59.833
vaarallinen,3,334.0,331.0,110.333
epätoivon,5,365.0,360.0,72.0
alainen,5,575.0,570.0,114.0
voi,100,512.0,412.0,4.12
katsokaas,5,408.0,403.0,80.6
taaksenne,1,454.0,453.0,453.0
täti,81,459.0,378.0,4.667
kiepsahti,1,358.0,357.0,357.0
ympäriinsä,13,362.0,349.0,26.846
varjellen,1,258.0,257.0,257.0
hameitansa,1,305.0,304.0,304.0
vaaralta,1,396.0,395.0,395.0
pujahti,3,307.0,304.0,101.333
samassa,33,403.0,370.0,11.212
