Key,All,Sketch,SketchMeanAbsEr,SketchMeanRelEr
erstes,1,416.0,415.0,415.0
kapitel,37,465.0,428.0,11.568
tom,737,1013.0,276.0,0.374
antwort,17,276.0,259.0,15.235
still,29,348.0,319.0,11.0
wundern,1,353.0,352.0,352.0
bengel,5,262.0,257.0,51.4
steckt,5,501.0,496.0,99.2
alte,47,318.0,271.0,5.766
dame,22,351.0,329.0,14.955
schob,7,217.0,210.0,30.0
brille,3,266.0,263.0,87.667
hinunter,20,408.0,388.0,19.4
schaute,24,250.0,226.0,9.417
darüber,26,408.0,382.0,14.692
hinweg,2,331.0,329.0,164.5
stirn,7,210.0,203.0,29.0
darunter,6,425.0,419.0,69.833
selten,5,318.0,313.0,62.6
nie,71,415.0,344.0,4.845
kleinen,46,327.0,281.0,6.109
ding,9,263.0,254.0,28.222
knabe,6,383.0,377.0,62.833
gläser,1,266.0,265.0,265.0
staatsbrille,1,207.0,206.0,206.0
stolz,16,451.0,435.0,27.188
herzens,6,207.0,201.0,33.5
mehr,125,358.0,233.0,1.864
stilvoll,1,318.0,317.0,317.0
brauchbar,1,370.0,369.0,369.0
paar,46,340.0,294.0,6.391
herdringe,1,326.0,325.0,325.0
ebensoviel,2,266.0,264.0,132.0
gesehen,42,370.0,328.0,7.81
unruhig,4,568.0,564.0,141.0
hielt,43,354.0,311.0,7.233
augenblick,72,425.0,353.0,4.903
umschau,1,465.0,464.0,464.0
sagte,209,561.0,352.0,1.684
gerade,35,314.0,279.0,7.971
erzürnt,1,318.0,317.0,317.0
immer,148,429.0,281.0,1.899
laut,6,203.0,197.0,32.833
genug,66,356.0,290.0,4.394
ganzen,31,262.0,231.0,7.452
zimmer,9,408.0,399.0,44.333
gehört,31,326.0,295.0,9.516
strenges,1,193.0,192.0,192.0
gericht,7,250.0,243.0,34.714
halten,25,416.0,391.0,15.64
müssen,24,238.0,214.0,8.917
erwische,1,280.0,279.0,279.0
brach,17,425.0,408.0,24.0
ab,30,324.0,294.0,9.8
inzwischen,10,285.0,275.0,27.5
niedergebeugt,1,217.0,216.0,216.0
stocherte,1,561.0,560.0,560.0
besen,1,362.0,361.0,361.0
bett,25,175.0,150.0,6.0
herum,44,348.0,304.0,6.909
mußte,43,323.0,280.0,6.512
atem,11,458.0,447.0,40.636
holen,7,458.0,451.0,64.429
ärger,1,266.0,265.0,265.0
ausdruck,6,408.0,402.0,67.0
verleihen,2,408.0,406.0,203.0
katze,25,263.0,238.0,9.52
aufgestöbert,1,568.0,567.0,567.0
junge,42,326.0,284.0,6.762
gar,79,371.0,292.0,3.696
vorgekommen,2,561.0,559.0,279.5
ging,59,343.0,284.0,4.814
offenen,3,275.0,272.0,90.667
tür,45,373.0,328.0,7.289
blieb,28,268.0,240.0,8.571
stehen,27,340.0,313.0,11.593
spähte,4,371.0,367.0,91.75
weinranken,1,268.0,267.0,267.0
blühenden,2,415.0,413.0,206.5
unkraut,3,252.0,249.0,83.0
zusammen,24,267.0,243.0,10.125
garten,6,263.0,257.0,42.833
ausmachten,2,245.0,243.0,121.5
hindurch,10,297.0,287.0,28.7
erhob,12,340.0,328.0,27.333
stimme,44,356.0,312.0,7.091
rief,16,285.0,269.0,16.812
ecken,3,343.0,340.0,113.333
hinein,14,266.0,252.0,18.0
wurde,147,568.0,421.0,2.864
schwaches,4,297.0,293.0,73.25
geräusch,4,263.0,259.0,64.75
hörbar,8,238.0,230.0,28.75
wandte,13,267.0,254.0,19.538
eben,17,299.0,282.0,16.588
rechtzeitig,4,465.0,461.0,115.25
burschen,25,415.0,390.0,15.6
erwischen,5,297.0,292.0,58.4
flucht,3,561.0,558.0,186.0
hindern,2,285.0,283.0,141.5
steckst,1,238.0,237.0,237.0
speisekammer,2,266.0,264.0,132.0
freilich,8,323.0,315.0,39.375
